sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
NI,Nicaragua,country,Latin America and the Caribbean,12.865416,-85.207229,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1991,293,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NI,Nicaragua,country,Latin America and the Caribbean,12.865416,-85.207229,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1991,86,0,0,0,0,0,51,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
NI,Nicaragua,country,Latin America and the Caribbean,12.865416,-85.207229,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,1991,11470,0,0,11470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NI,Nicaragua,country,Latin America and the Caribbean,12.865416,-85.207229,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1991,73180,0,0,31,0,0,52,0,69161,1015,0,0,2753,168,0,0,0,0,0,0,0,0,0,0
NI,Nicaragua,country,Latin America and the Caribbean,12.865416,-85.207229,CA,Canada,country,North America,56.130366,-106.346771,1991,8667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8667,0,0,0,0,0,0
NI,Nicaragua,country,Latin America and the Caribbean,12.865416,-85.207229,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1991,771,0,0,0,0,0,0,0,0,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NI,Nicaragua,country,Latin America and the Caribbean,12.865416,-85.207229,CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,1991,19051,78,0,0,17,3,804,0,1213,266,0,16171,0,83,0,36,0,177,20,183,0,0,0,0
NI,Nicaragua,country,Latin America and the Caribbean,12.865416,-85.207229,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1991,515,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,2,0,0,0,0,0,0
NI,Nicaragua,country,Latin America and the Caribbean,12.865416,-85.207229,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,1991,162,0,0,0,0,0,85,0,0,0,0,0,74,3,0,0,0,0,0,0,0,0,0,0
NI,Nicaragua,country,Latin America and the Caribbean,12.865416,-85.207229,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1991,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
NI,Nicaragua,country,Latin America and the Caribbean,12.865416,-85.207229,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1991,19308,799,0,0,0,0,7624,54,0,567,0,6959,342,128,0,23,0,1203,26,1583,0,0,0,0
NI,Nicaragua,country,Latin America and the Caribbean,12.865416,-85.207229,FR,France,country,Europe and Central Asia,46.227638,2.213749,1991,215,0,0,0,0,0,0,0,11,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0
