sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,1986,758,247,29,4,0,0,0,0,241,0,6,0,0,55,2,152,0,0,22,0,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,IN,India,country,South Asia,20.593684,78.96288,1986,2189,102,0,0,0,0,0,0,2086,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,1986,1033,0,0,0,0,0,0,0,1011,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,KW,Kuwait,country,Middle East and North Africa,29.31166,47.481766,1986,1413,27,2,0,0,0,0,2,1059,0,0,0,0,0,16,307,0,0,0,0,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,NO,Norway,country,Europe and Central Asia,60.472024,8.468946,1986,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,QA,Qatar,country,Middle East and North Africa,25.354826,51.183884,1986,1257,20,11,0,0,0,0,212,447,0,1,482,0,44,0,38,0,2,0,0,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,SA,Saudi Arabia,country,Middle East and North Africa,23.885942,45.079162,1986,13973,13810,0,0,0,0,0,0,85,0,0,30,0,48,0,0,0,0,0,0,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,1986,23,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,1986,18600,6447,600,827,0,131,0,4440,1329,0,28,2002,179,488,334,914,8,553,328,0,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,1986,228,64,0,0,0,0,0,0,116,0,0,14,0,13,0,21,0,0,0,0,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,1986,120,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,US,USA,country,North America,37.09024,-95.712891,1986,39,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,1987,407,125,43,0,0,0,0,0,56,0,0,0,0,40,0,143,0,0,0,0,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1987,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1987,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
