sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1986,65,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1986,121660,0,0,0,0,0,0,0,121540,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,CA,Canada,country,North America,56.130366,-106.346771,1986,198,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,1986,753,0,37,0,0,0,1,0,613,0,0,0,0,17,5,80,0,0,0,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,1986,5794,0,0,141,0,0,0,552,406,0,0,0,77,1837,0,726,0,0,2055,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1986,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,1986,173,0,0,0,0,0,0,0,0,0,0,7,0,0,0,166,0,0,0,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,155,0,0,0,0,0,0,0,0,0,0,0,0,12,0,36,0,0,107,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,FR,France,country,Europe and Central Asia,46.227638,2.213749,1986,82,0,0,0,0,0,0,0,0,0,0,0,79,3,0,0,0,0,0,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,1986,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,93,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,440,6,0,0,0,0,0,0,0,0,0,0,0,120,0,6,0,0,308,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,1986,75,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,9494,0,0,0,0,0,0,0,9467,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,20,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,14,0,0,0,0,0
