sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,AL,Albania,country,Europe and Central Asia,41.153332,20.168331,1986,56,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,1986,13276,0,0,0,0,0,0,0,0,4786,251,0,7948,291,0,0,0,0,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,285,0,0,0,0,0,0,0,20,0,0,0,234,31,0,0,0,0,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,1986,7,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,1986,36,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,1986,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1986,1415,0,0,0,19,0,0,75,59,797,0,0,262,203,0,0,0,0,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,855,524,0,48,0,0,0,0,4,240,0,0,0,19,20,0,7,0,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,579,0,0,0,0,0,107,91,0,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,CA,Canada,country,North America,56.130366,-106.346771,1986,2151,0,0,0,201,0,0,38,873,0,24,0,844,155,0,16,0,0,0,0,0,0,0,0
