sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,WS,Samoa,country,East Asia and Pacific,-13.759029,-172.104629,7871.89283581432,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,17145.2334788306,1986,2054,0,0,0,0,0,0,0,0,0,0,0,0,135,1919,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,4442.44563471169,1986,10516,65,0,45,0,0,6542,16,1779,0,1,10,1227,750,0,81,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,10213.7525578564,1986,580,2,0,0,0,0,13,0,18,0,0,0,0,547,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,15331.7584515652,1986,151,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,7526.20003805579,1986,4070,10,0,0,0,0,25,1,3860,0,156,0,0,13,0,0,0,3,2,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,BD,Bangladesh,country,South Asia,23.684994,90.356331,3521.82911191147,1986,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,17131.370176002,1986,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,10737.2012439655,1986,6762,0,0,0,0,0,177,0,4371,640,0,0,643,617,19,0,0,0,295,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,BM,Bermuda,country,North America,32.321384,-64.75737,14957.8630923563,1986,235,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,BN,Brunei Darussalam,country,,4.535277,114.727669,1209.49311387709,1986,22,0,0,0,0,0,0,0,19,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,9553.78809390101,1986,26,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,11914.3343242672,1986,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,CA,Canada,country,North America,56.130366,-106.346771,11157.5249705632,1986,25432,84,22,162,1,0,4505,47,11199,1213,12,35,2405,99,5619,29,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,TD,Chad,country,Sub-Saharan Africa,15.454166,18.732207,10996.0928295887,1986,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,17169.5959481899,1986,33,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1334.68207060713,1986,78573,71,0,1097,0,489,1102,3822,66137,354,218,0,1225,2382,1008,404,21,237,27,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,1355.36519317366,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,CN,China,country,East Asia and Pacific,35.86166,104.195397,3106.22230986508,1986,36045,3,0,0,0,0,0,0,17231,0,0,0,0,408,18403,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1207.31778993589,1986,97855,102,1644,66515,0,6,17602,4,52,41,0,1635,150,8755,1172,0,0,0,118,0,59,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,11753.9481645928,1986,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,9050.05707222262,1986,253,0,0,0,0,0,0,0,20,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,10145.2031071722,1986,14150,0,0,0,0,0,750,0,231,0,0,0,0,12661,508,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,9470.68544680989,1986,10235,0,0,0,0,0,75,0,0,159,0,0,0,1,10000,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,7137.89036989836,1986,34,9,0,0,0,0,0,0,19,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,9068.01269897136,1986,3030,0,0,0,0,0,25,0,2875,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,FR,France,country,Europe and Central Asia,46.227638,2.213749,11119.6190477582,1986,49007,0,0,0,0,0,504,0,1937,752,0,0,78,4399,40817,0,0,0,272,0,248,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,PF,French Polynesia,country,East Asia and Pacific,-17.679742,-149.406843,10328.5624223817,1986,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,GR,Greece,country,Europe and Central Asia,39.074208,21.824312,9956.62578254973,1986,361,0,0,0,0,0,13,0,276,0,0,0,60,12,0,0,0,0,0,0,0,0,0,0
