sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,AL,Albania,country,Europe and Central Asia,41.153332,20.168331,658.655593007186,1989,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,2855.30046189815,1989,12076,0,0,10038,0,0,0,2000,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,13428.9752331599,1989,398,0,0,0,0,0,0,28,60,0,0,0,0,0,0,20,0,27,263,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,813.211230610107,1989,45140,861,0,22923,0,0,60,15632,696,0,0,0,0,0,0,450,22,3980,538,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,8934.30178177426,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1596.55636949888,1989,447,0,0,0,0,0,0,0,15,299,0,0,0,0,0,1,0,114,18,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,4614.33282288855,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,10170.9319104257,1989,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,359.635230675979,1989,297,231,0,0,0,0,62,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,5511.61862740126,1989,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
