sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,3410.00475770796,1997,277,0,0,0,0,0,266,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,WS,Samoa,country,East Asia and Pacific,-13.759029,-172.104629,17618.1554278279,1997,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,10786.2514023426,1997,10025,0,0,0,0,0,3360,0,0,97,0,1102,0,0,5466,0,0,0,0,0,0,0,0,0
SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,4124.04534453551,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,2584.6734602416,1997,65,0,0,0,0,0,0,0,11,0,0,38,0,0,0,0,0,16,0,0,0,0,0,0
SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,BD,Bangladesh,country,South Asia,23.684994,90.356331,6426.18560106151,1997,3319,0,0,0,0,0,0,0,0,3319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,4796.68508722182,1997,14004,0,0,0,8,0,13251,77,0,56,0,400,0,212,0,0,0,0,0,0,0,0,0,0
SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,BT,Bhutan,country,South Asia,27.514162,90.433601,6438.33108844409,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,9543.53519650681,1997,3580,0,0,0,0,0,0,0,0,3580,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,3356.35556752125,1997,198,0,0,0,2,0,193,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,CA,Canada,country,North America,56.130366,-106.346771,11366.1842844515,1997,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,8859.66127042641,1997,3932,0,0,0,0,0,0,0,0,956,0,0,0,0,2959,0,0,0,0,17,0,0,0,0
SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,CN,China,country,East Asia and Pacific,35.86166,104.195397,7748.3888228001,1997,15479,0,0,3000,0,0,252,0,0,12227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,9521.40234437771,1997,632,0,0,0,0,0,0,0,0,339,0,293,0,0,0,0,0,0,0,0,0,0,0,0
SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,2499.37911729277,1997,1162,0,0,0,0,0,1144,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
