sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,10077.2077592223,1986,33057,33057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,WS,Samoa,country,East Asia and Pacific,-13.759029,-172.104629,10111.6212167107,1986,58,55,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,9636.32307780023,1986,31083,30905,0,100,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,17110.6355462322,1986,219,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,5797.84503105727,1986,29188,14713,1627,17,236,43,369,1715,5126,421,58,0,510,3809,508,36,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,AT,Austria,country,Europe and Central Asia,47.516231,14.550072,8459.926176271,1986,6649,51,0,0,4,0,0,9,56,0,0,0,0,6529,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,15480.7059786312,1986,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,5322.92984175989,1986,21828,21058,0,2,493,0,35,50,72,0,2,0,0,114,0,0,0,0,2,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,BD,Bangladesh,country,South Asia,23.684994,90.356331,1412.49123518025,1986,87042,28895,1270,56482,385,0,0,0,0,0,0,0,0,3,7,0,196,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,16156.9793227304,1986,1294,1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,9113.06925911196,1986,49957,42214,0,0,323,0,55,236,2519,1070,91,0,0,3296,136,15,0,2,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,10651.0373042459,1986,82099,82099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,17122.4758894535,1986,288555,288555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,BN,Brunei Darussalam,country,,4.535277,114.727669,1961.6521728364,1986,36677,33751,0,781,3,0,11,78,219,0,0,1737,0,25,56,0,295,0,16,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,7653.58909954788,1986,60556,0,0,60402,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,10955.6157479075,1986,4391,4391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,566.925254486301,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,9650.18645975852,1986,190866,190866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,CA,Canada,country,North America,56.130366,-106.346771,11624.6754468999,1986,43075,19763,156,74,1794,1,35,1795,17280,0,82,0,2,1926,150,0,0,6,11,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,8757.04826894824,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
