sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,WS,Samoa,country,East Asia and Pacific,-13.759029,-172.104629,888.799428128143,1986,27,3,0,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,5209.40666861447,1986,4895,0,8,0,0,0,677,0,0,0,19,407,0,1,3783,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,764.233526007039,1986,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,2386.43805419347,1986,8534,0,30,0,0,0,1177,13,4130,0,4,1549,0,27,1604,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,16168.8936525084,1986,1000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,US,USA,country,North America,37.09024,-95.712891,10543.2723750517,1986,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,5209.40666861447,1987,2259,3,4,0,0,0,221,0,39,0,2,0,0,15,1975,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,CK,Cook Islands,country,East Asia and Pacific,-21.236736,-159.777671,1599.72807521865,1987,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,764.233526007039,1987,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,8048.22781679113,1987,157,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,2102.35540946434,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,2386.43805419347,1987,5825,0,156,0,0,0,767,12,3609,0,0,322,0,68,891,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,NU,Niue,country,East Asia and Pacific,-19.054445,-169.867233,605.289354015828,1987,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,SB,Solomon Islands,country,East Asia and Pacific,-9.64571,160.156194,2933.73051922248,1987,9,0,1,0,0,0,0,5,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,US,USA,country,North America,37.09024,-95.712891,10543.2723750517,1987,39,0,2,0,0,0,17,0,0,0,11,0,0,9,0,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,WS,Samoa,country,East Asia and Pacific,-13.759029,-172.104629,888.799428128143,1988,19,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,5209.40666861447,1988,965,0,35,0,0,0,97,0,0,0,2,0,0,7,824,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,764.233526007039,1988,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,2386.43805419347,1988,4019,0,736,0,0,0,633,0,1373,0,0,123,0,52,1093,9,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,SB,Solomon Islands,country,East Asia and Pacific,-9.64571,160.156194,2933.73051922248,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,US,USA,country,North America,37.09024,-95.712891,10543.2723750517,1988,24,0,1,0,0,0,0,1,0,0,15,0,0,7,0,0,0,0,0,0,0,0,0,0
