sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,2002,3709,2733,0,0,0,0,0,0,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,0
VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,2002,6328,1231,277,0,0,0,106,35,3635,0,69,394,0,0,0,581,0,0,0,0,0,0,0,0
VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,2002,460,103,149,0,0,0,8,48,112,0,7,0,0,3,0,30,0,0,0,0,0,0,0,0
VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,2002,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,CA,Canada,country,North America,56.130366,-106.346771,2002,81,0,0,0,0,0,0,0,49,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,2002,1822,1116,0,0,0,0,0,0,0,0,0,695,0,0,0,11,0,0,0,0,0,0,0,0
VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,FR,France,country,Europe and Central Asia,46.227638,2.213749,2002,301,149,143,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,2002,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,2002,1233,1089,0,22,0,0,0,0,0,0,0,104,0,0,0,18,0,0,0,0,0,0,0,0
VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,2002,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
