sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,2006,647,0,146,0,0,0,31,0,0,0,0,0,42,6,100,0,0,174,0,148,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,BD,Bangladesh,country,South Asia,23.684994,90.356331,2006,38,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,2006,5067,0,0,0,0,0,3761,0,0,0,0,0,0,0,1306,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,CA,Canada,country,North America,56.130366,-106.346771,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,CN,China,country,East Asia and Pacific,35.86166,104.195397,2006,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,2006,410,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,FR,France,country,Europe and Central Asia,46.227638,2.213749,2006,442,0,0,0,0,0,0,0,0,0,0,0,441,0,1,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,2006,1396,0,0,0,0,0,1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,2006,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,2006,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,2006,72,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,2006,1052,0,0,0,0,0,1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,2006,231,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,94,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,2006,99,0,0,0,0,0,0,0,6,0,0,0,0,2,1,0,0,0,0,90,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,PG,Papua New Guinea,country,East Asia and Pacific,-6.314993,143.95555,2006,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,2006,3211,0,0,0,0,0,3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,RU,Russian Federation,country,Europe and Central Asia,61.52401,105.318756,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,2006,2711,0,0,0,0,0,1696,0,0,0,0,0,975,0,40,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,SB,Solomon Islands,country,East Asia and Pacific,-9.64571,160.156194,2006,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,ZA,S. Africa,country,Sub-Saharan Africa,-30.559482,22.937506,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,2006,285,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,TV,Tuvalu,country,East Asia and Pacific,-7.109535,177.64933,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,2006,914,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,US,USA,country,North America,37.09024,-95.712891,2006,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,WF,Wallis and Futuna,country,East Asia and Pacific,-13.768752,-177.156097,2006,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,2007,228,0,112,0,0,0,0,0,4,0,2,0,0,1,2,0,0,29,0,78,0,0,0,0
