sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AF,Afghanistan,country,South Asia,33.93911,67.709953,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,1786.34088935768,2002,2550,0,121,0,224,498,0,5,228,0,123,0,0,1351,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,3698.41166050905,2002,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,5219.95595646008,2002,65,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,11716.2292611164,2002,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,13954.074647522,2002,174333,164919,0,466,699,0,2157,1,1016,0,0,138,63,35,4581,62,0,104,92,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,2029.24636850083,2002,411,0,0,0,0,0,0,0,1,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,10175.7193369084,2002,708647,618035,350,504,21331,186,75,13670,6909,0,425,8699,503,1740,236,5447,0,17187,13350,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,4385.82870637242,2002,4558,262,0,0,0,0,3,1,593,0,0,118,36,64,0,2885,0,65,531,0,0,0,0,0
AZ,Azerbaijan,country,Europe and Central Asia,40.143105,47.576927,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,1952.05237367175,2002,775,0,0,0,22,0,0,46,24,0,0,0,0,661,22,0,0,0,0,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,12504.1365871846,2002,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,428.07152930609,2002,1581,21,0,9,0,24,0,146,44,0,44,0,12,181,1,89,5,36,974,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,3715.18551755001,2002,4007,235,39,0,2,0,0,2530,27,0,37,0,126,991,20,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,5190.60120030384,2002,23891,1358,4608,6674,15,0,26,4835,634,0,0,446,558,692,977,738,0,103,2227,0,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,13937.9208114511,2002,105,0,0,0,66,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
BM,Bermuda,country,North America,32.321384,-64.75737,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,11035.2619118317,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,4004.02386621202,2002,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
