sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,12719.0207154249,1986,694,0,0,0,0,0,0,0,0,0,0,0,0,694,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,12297.5176734918,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,11918.7615973352,1986,78,0,0,0,0,0,0,0,0,6,0,0,0,25,47,0,0,0,0,0,0,0,0,0
BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,2463.05023089685,1986,93,0,0,0,0,0,0,0,0,0,0,0,83,10,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,2927.52170150199,1986,135563,7,0,172,0,306,297,4887,95332,2543,892,939,20681,1757,386,2356,29,5008,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,12731.7123450578,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,9324.35321250305,1986,940,0,0,0,0,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,11271.6495545351,1986,828,0,0,0,0,0,133,0,0,0,0,0,0,235,0,310,0,0,150,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,767.156453194601,1986,12298,1008,387,0,871,2500,0,852,2759,492,2,0,0,1847,0,0,0,1580,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,18920.1390877183,1986,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,18342.5857234006,1986,35,0,0,0,0,0,0,7,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,4910.54978435473,1986,21125,0,0,0,0,0,0,0,9213,0,0,0,11902,10,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,5755.16529839457,1986,2053,0,0,0,0,0,0,0,0,0,0,0,2053,0,0,0,0,0,0,0,0,0,0,0
CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,7878.65092120982,1986,226,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,6834.38579868753,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,12498.2729791412,1986,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,12576.6000502422,1986,398,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0
DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,6398.76546392594,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
