sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,13760.911228054,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WS,Samoa,country,East Asia and Pacific,-13.759029,-172.104629,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,5783.27833772637,1986,5098,0,241,0,0,0,246,0,94,0,0,0,26,109,4356,0,0,0,0,26,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,12719.0207154249,1986,18077,4,0,0,0,0,89,23,0,0,0,0,49,1569,16322,8,0,0,13,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,14227.7727615247,1986,514,31,0,8,0,0,1,92,38,0,4,4,22,130,0,100,0,0,84,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,7183.84385171473,1986,877,0,0,0,0,0,0,0,0,861,0,0,0,0,0,0,0,16,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,18099.1821615314,1986,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,14909.1201288187,1986,1901,152,0,72,0,0,18,620,4,38,2,0,256,209,414,72,0,0,44,0,0,0,0,0
BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,15042.1076308859,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,15596.0652868079,1986,15538,0,0,274,0,1107,0,1,6410,0,5,49,3975,2553,1136,28,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,13344.8309751771,1986,1293,0,0,0,0,0,0,191,715,0,1,0,0,0,0,7,0,0,379,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,11244.9364200332,1986,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,13523.6973296795,1986,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,14167.4730667731,1986,204719,258,6183,110,424,0,382,1574,1131,0,4,48,0,194244,7,105,0,0,249,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,12748.3854928055,1986,141,0,0,11,0,0,0,0,46,0,0,72,0,0,0,12,0,0,0,0,0,0,0,0
