sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,1596.15347610328,1986,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,2512.59248924181,1986,1518,0,0,0,0,0,0,17,948,0,0,0,0,1,0,552,0,0,0,0,0,0,0,0
AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,6991.62497011843,1986,120,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0
AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,6889.87420638548,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,11918.7615973352,1986,1193066,136382,0,96,757,0,250442,25,1119,3121,0,765554,0,3626,24276,758,0,6885,0,5,20,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,14909.1201288187,1986,193015,26701,0,84575,9905,61,4095,4593,12476,19962,25,7183,1301,5551,4713,5842,0,4145,467,1420,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,806.807777386296,1986,8366,1237,0,59,0,0,0,20,307,844,0,1846,566,2185,303,100,0,50,845,4,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,7337.75048410901,1986,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,7726.08236810151,1986,12107,0,0,0,0,0,0,0,0,11504,0,0,9,0,0,0,0,594,0,0,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,8756.58244872421,1986,8696,0,0,8696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
