sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BM,Bermuda,country,North America,32.321384,-64.75737,18070.4567133735,2007,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BM,Bermuda,country,North America,32.321384,-64.75737,5888.78638678085,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BM,Bermuda,country,North America,32.321384,-64.75737,5360.030965736,2007,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BM,Bermuda,country,North America,32.321384,-64.75737,4144.7979506301,2007,47,20,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,14,1,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,BM,Bermuda,country,North America,32.321384,-64.75737,12360.4520830832,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,BM,Bermuda,country,North America,32.321384,-64.75737,5795.77011294549,2007,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,BM,Bermuda,country,North America,32.321384,-64.75737,5008.34539550424,2007,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,BM,Bermuda,country,North America,32.321384,-64.75737,9026.86130826379,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BM,Bermuda,country,North America,32.321384,-64.75737,6716.29850687151,2007,5,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,BM,Bermuda,country,North America,32.321384,-64.75737,5921.69264374945,2007,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,BM,Bermuda,country,North America,32.321384,-64.75737,14726.4162756133,2007,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
RS,Serbia,country,Europe and Central Asia,44.016521,21.005859,BM,Bermuda,country,North America,32.321384,-64.75737,7279.32204796001,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BM,Bermuda,country,North America,32.321384,-64.75737,5433.11753491473,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,BM,Bermuda,country,North America,32.321384,-64.75737,5332.42830914527,2007,171,16,0,1,0,0,0,63,12,0,0,0,1,5,3,0,0,2,68,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BM,Bermuda,country,North America,32.321384,-64.75737,2869.02299967506,2007,12111,150,16,428,0,10,3,34,1121,0,3,175,140,178,22,8779,0,915,135,2,0,0,0,0
UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,BM,Bermuda,country,North America,32.321384,-64.75737,7279.97987228096,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,BM,Bermuda,country,North America,32.321384,-64.75737,7875.34689502953,2013,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BM,Bermuda,country,North America,32.321384,-64.75737,18070.4567133735,2013,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BM,Bermuda,country,North America,32.321384,-64.75737,6677.73215231624,2013,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,BM,Bermuda,country,North America,32.321384,-64.75737,1475.25377916278,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,BM,Bermuda,country,North America,32.321384,-64.75737,2194.57105709,2013,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BM,Bermuda,country,North America,32.321384,-64.75737,5888.78638678085,2013,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BM,Bermuda,country,North America,32.321384,-64.75737,5360.030965736,2013,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0
VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,BM,Bermuda,country,North America,32.321384,-64.75737,1547.46230643455,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,BM,Bermuda,country,North America,32.321384,-64.75737,7668.60747949852,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BM,Bermuda,country,North America,32.321384,-64.75737,4144.7979506301,2013,2131,611,309,162,0,0,0,56,0,0,0,625,7,271,77,7,0,5,1,0,0,0,0,0
KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,BM,Bermuda,country,North America,32.321384,-64.75737,2125.43731341174,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,BM,Bermuda,country,North America,32.321384,-64.75737,7602.3841010194,2013,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0
