sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,2463.05023089685,1988,74166,65691,0,390,350,0,0,79,2302,20,0,13,122,215,4516,141,2,50,277,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,15042.1076308859,1988,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,9944.37635195287,1988,1832,1832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1273.05958134964,1988,3801,509,0,1206,0,0,35,7,8,663,40,6,192,960,139,30,36,0,6,0,0,0,0,0
VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,3865.71078020083,1988,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,8994.76571252565,1988,4157,4150,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,2297.74272143201,1988,14091,9044,0,28,17,0,9,416,3410,0,11,7,37,147,60,225,319,10,670,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,19316.0962056682,1988,14,0,0,0,0,0,0,1,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,17545.0266807396,1988,289,271,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,19085.6640038605,1988,17,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,2604.40537288749,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,3651.94077820387,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,4485.14320032109,1988,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
