sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,2927.52170150199,1986,2081668,1695366,845,166,54680,20,28909,7275,102716,335,188,8208,2,1895,147053,568,0,28079,5075,288,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,15596.0652868079,1986,32165,30049,0,0,0,0,0,0,0,597,0,0,0,121,43,0,0,101,0,1254,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,9508.25401881353,1986,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1956,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,15943.1166773441,1986,35095,0,0,0,0,0,0,0,0,35095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,9049.02650876818,1986,57208,35792,0,0,0,0,5,0,0,1954,0,0,0,270,10000,95,0,130,8962,0,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,5327.27210565634,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1273.05958134964,1986,3306,0,0,0,120,0,0,0,0,0,0,0,0,3186,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,7493.69850361357,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,9314.95503517065,1986,881264,878805,0,8,709,0,18,12,0,0,0,1,0,13,1,2,5,59,1636,0,0,0,0,0
KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,4894.85358116815,1986,30911,18170,0,0,0,0,0,0,0,0,0,0,0,2633,0,0,0,112,9996,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,3087.64831404224,1986,68408,8790,251,0,31793,1999,1111,46,20541,0,12,0,0,618,9,1981,0,0,889,368,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,18306.1615705447,1986,37,0,0,0,0,0,0,12,0,6,0,0,0,19,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,16651.4865019904,1986,92855,92032,0,0,20,0,0,0,0,201,0,0,0,602,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,18745.700462249,1986,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,3237.8371448474,1986,199,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,4413.23540985884,1986,7351,0,0,0,7350,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,5666.26308155989,1986,349,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,9683.77711433252,1986,11030,10793,0,0,0,0,0,0,0,0,0,0,0,230,0,7,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,9680.72776045865,1986,17929,51,0,0,0,0,0,0,0,0,0,0,0,211,0,73,0,11891,5703,0,0,0,0,0
EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,3200.9536115952,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,10028.012642647,1986,1833,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1803,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,10783.2453711551,1986,954,900,0,42,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,8634.95708092552,1986,195044,71432,7588,74,0,0,2,2,1058,898,28,0,0,1148,0,140,46,110216,2458,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,9664.09005824894,1986,174,0,0,0,0,0,115,0,13,0,0,0,0,11,14,21,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,5378.19401675652,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,4318.17595280939,1986,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,5000.45207198401,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,9830.04658662616,1986,15991,0,0,0,0,60,18,0,4272,0,0,579,0,0,1336,6,0,9720,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,14791.8580213503,1986,144,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,17750.4246236607,1986,36129,36000,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,8601.55203375784,1986,43810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,28263,15544,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,10530.356197234,1986,227,2,0,0,0,0,216,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,9079.78706253508,1986,49925,3,0,1,3,0,0,5,89,0,1,3,0,435,55,557,0,48773,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,17389.8886348546,1986,171,1,0,14,0,0,0,0,0,0,0,69,0,58,0,29,3,0,0,0,0,0,0,0
MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,10409.3730783743,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,16964.5798111478,1986,25787,0,0,0,0,0,0,0,0,0,0,0,0,25787,0,0,0,0,0,0,0,0,0,0
MT,Malta,country,Middle East and North Africa,35.937496,14.375416,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,8921.93071104713,1986,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,6936.0475086936,1986,1908,0,0,0,545,0,5,0,1198,0,25,0,0,119,2,14,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,7007.93518176443,1986,27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
MM,Myanmar,country,East Asia and Pacific,21.913965,95.956223,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,16540.2430486697,1986,31218,31218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,9199.82378426808,1986,57283,2000,31710,9,4,0,0,0,60,119,23,0,0,559,0,907,34,2870,19022,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,12234.2778670789,1986,42579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212,41367,0,0,0,0,0
NI,Nicaragua,country,Latin America and the Caribbean,12.865416,-85.207229,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,4750.49659274952,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,9878.13884592279,1986,71,0,0,0,0,0,0,0,0,0,0,70,0,1,0,0,0,0,0,0,0,0,0,0
PK,Pakistan,country,South Asia,30.375321,69.345116,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,13797.6448098766,1986,180880,170492,0,0,0,0,0,0,0,10360,0,0,0,28,0,0,0,0,0,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,4072.12049949601,1986,15,4,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
PY,Paraguay,country,Latin America and the Caribbean,-23.442503,-58.443832,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1233.20752164998,1986,121580,3662,0,0,0,0,20546,0,0,52851,0,12,0,1320,12875,0,0,30314,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,2577.13762024193,1986,518,0,0,0,0,0,102,0,0,150,0,0,0,266,0,0,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,10016.321138332,1986,21552,1598,0,0,0,0,15,0,0,0,0,0,0,0,0,145,0,19794,0,0,0,0,0,0
