sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BT,Bhutan,country,South Asia,27.514162,90.433601,7490.91837028474,2010,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BT,Bhutan,country,South Asia,27.514162,90.433601,6776.12839999607,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,BT,Bhutan,country,South Asia,27.514162,90.433601,426.331566882579,2010,4301,174,1,5,0,0,0,0,4062,0,0,0,3,0,0,56,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,BT,Bhutan,country,South Asia,27.514162,90.433601,2452.23203178461,2010,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,BT,Bhutan,country,South Asia,27.514162,90.433601,1598.14778332607,2010,42,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BT,Bhutan,country,South Asia,27.514162,90.433601,6957.05617472464,2010,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,BT,Bhutan,country,South Asia,27.514162,90.433601,7720.10588800102,2010,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,BT,Bhutan,country,South Asia,27.514162,90.433601,1396.32267032949,2010,153881,72453,4027,7919,1723,1,1301,8418,2456,27,374,1617,292,23211,7614,12845,124,4934,4668,1,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BT,Bhutan,country,South Asia,27.514162,90.433601,7061.89156427695,2010,265,0,0,0,166,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,BT,Bhutan,country,South Asia,27.514162,90.433601,4576.74093226708,2010,24,1,0,0,0,0,0,1,0,0,1,0,0,1,20,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,BT,Bhutan,country,South Asia,27.514162,90.433601,2868.88244013962,2010,574,274,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0
NP,Nepal,country,South Asia,28.394857,84.124008,BT,Bhutan,country,South Asia,27.514162,90.433601,628.045857469267,2010,369,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
