sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AF,Afghanistan,country,South Asia,33.93911,67.709953,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,13811.4533626301,1986,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1445.00868707663,1986,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,15485.6331794583,1986,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,8756.58244872421,1986,9,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,5327.27210565634,1986,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,2530.52720042518,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,4588.70831225977,1986,1082,445,0,0,0,0,0,387,5,0,2,0,0,2,196,5,0,0,40,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,14989.375558158,1986,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,13982.1371294859,1986,10,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,2090.88921054702,1986,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,974.40258607396,1986,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,9527.30818328847,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,8916.6383168904,1986,1009,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,386,0,0,0,0,0
DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1948.29758004364,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,380.420004062646,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,8700.58703624345,1986,83,0,0,0,0,0,0,3,0,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,10473.8115631458,1986,19,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,2944.13118231754,1986,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,242.348002402514,1986,1594,1018,0,0,12,0,0,47,2,0,0,12,15,323,26,135,0,4,0,0,0,0,0,0
