sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,4523.5509826958,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,2404.15056160486,1997,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,7878.65092120982,1997,248,172,0,0,1,0,0,4,9,0,0,0,0,25,0,0,0,37,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,15293.2880322565,1997,111,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,4840.83133195022,1997,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,10278.1771094849,1997,23681,0,0,0,0,0,0,0,0,23681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,4872.00148170953,1997,9592,1671,360,2599,0,0,0,350,21,0,0,974,10,268,2149,126,80,435,629,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,887.881706377971,1997,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,5666.26308155989,1997,431,0,0,12,0,0,0,0,7,0,3,3,0,222,78,0,0,0,106,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,4956.1288019931,1997,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,681.511893943706,1997,75,1,0,0,0,0,0,0,0,5,0,63,0,3,0,0,0,3,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,1975.92850794525,1997,53,0,0,10,0,0,0,10,6,0,0,0,16,0,0,0,43,0,11,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,9984.12882348189,1997,794,3,0,1,10,0,0,18,27,0,0,0,3,6,470,1,0,255,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,8400.02260494521,1997,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,12668.0234094945,1997,5,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,11267.3923795811,1997,888,9,0,0,5,0,15,296,5,0,0,1,451,103,1,2,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,13265.3054609692,1997,15,1,0,0,0,0,1,1,9,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,7610.89219629069,1997,15,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,8591.4761925189,1997,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,7876.88297437434,1997,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,5020.92149742369,1997,7,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,5096.96468478398,1997,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,5582.45558634852,1997,1221,34,0,2,0,0,0,0,1,0,1,0,0,67,258,49,0,405,404,0,0,0,0,0
DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,6136.96172872149,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,7080.09227745668,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,8132.06222114685,1997,32,0,0,0,0,0,0,0,1,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,4395.73378933376,1997,166,0,100,31,0,0,0,8,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,5070.46530687454,1997,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,6572.12716500708,1997,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,4370.39126855878,1997,284120,232925,2101,7225,55,21,211,3581,2849,1,9,959,172,18133,690,3515,286,2747,8926,0,0,0,0,0
GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,2119.21111851454,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM,The Gambia,country,Sub-Saharan Africa,13.443182,-15.310139,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,1254.04832662711,1997,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,5075.08263597784,1997,24258,14436,50,3364,0,0,0,115,6,0,0,1,5,190,271,46,0,96,5678,0,0,0,0,0
GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,501.049276283363,1997,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,4451.57879750711,1997,131,0,0,0,0,0,0,53,10,0,0,0,57,11,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,9225.29983904773,1997,26000,0,0,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,529.267168854545,1997,1586,0,0,0,0,0,0,0,0,0,0,0,0,1586,0,0,0,0,0,0,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,8805.39944731665,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,5011.60681989734,1997,120,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,6479.32977607717,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,9155.46018044623,1997,8925,8405,0,24,0,0,0,6,0,0,2,0,2,1,0,0,0,485,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,13280.9184302216,1997,22,6,0,0,0,0,1,0,2,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0
IR,Iran,country,Middle East and North Africa,32.427908,53.688046,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,6691.05852974488,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,5112.36256389571,1997,799,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,792,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,4942.38956276781,1997,35,0,2,0,0,0,0,21,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,4217.8390123033,1997,15448,5159,0,3,0,0,0,6769,78,0,0,14,16,2731,103,101,0,467,7,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,7834.14178585357,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,13871.6786958923,1997,7,3,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,5045.21946082715,1997,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,4895.62480993882,1997,80,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,1,0,0,0,0,0,0
LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,5156.96399699335,1997,486,24,1,12,50,15,15,47,162,0,20,0,9,62,17,20,0,2,30,0,0,0,0,0
MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,6453.77103563836,1997,11,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,4976.49408716976,1997,28,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,11882.3348684421,1997,16405,12,0,0,0,0,0,10,0,0,0,0,0,0,16109,0,0,0,274,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,1129.22052772098,1997,43298,3856,1364,0,14,0,34436,2714,194,639,67,0,0,13,0,0,0,0,0,1,0,0,0,0
MT,Malta,country,Middle East and North Africa,35.937496,14.375416,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,3755.14764842571,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR,Mauritania,country,Sub-Saharan Africa,21.00789,-10.940835,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,1607.61941043661,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,7567.59806227833,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,10389.9548060867,1997,50,0,0,6,1,0,0,19,0,0,0,0,5,0,0,19,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,2704.44444978598,1997,661,0,1,23,0,0,59,57,187,0,0,0,0,10,0,233,0,0,91,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,5061.89043335153,1997,43949,169,10979,224,0,0,0,21132,22,0,1,30,7,405,474,238,51,370,9898,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,16323.5786695911,1997,153,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,19,128,0,0,0,0,0
