sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,767.156453194601,1986,54913,5485,0,5245,1,0,2424,40,718,704,0,2148,10127,247,25329,6,0,2102,250,87,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,12748.3854928055,1986,6558,6556,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,12592.760415505,1986,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,12130.9898083741,1986,518,0,0,4,0,0,0,0,0,0,0,268,3,210,33,0,0,0,0,0,0,0,0,0
BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,2297.74272143201,1986,9728,0,0,1500,0,0,0,0,0,0,0,8173,55,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,3087.64831404224,1986,16528,66,0,1665,0,3,10,0,1133,533,30,1,5496,2433,5087,68,117,2,1,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,10737.7737589056,1986,621,7,0,58,0,0,0,0,0,0,0,102,0,7,38,0,18,136,273,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,18461.1184276931,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,19652.0554812547,1986,343,0,0,0,22,0,0,67,0,40,77,65,3,55,0,0,0,14,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,18240.8738589428,1986,304,270,0,0,0,0,0,25,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,4489.39329192382,1986,12143,0,0,2639,0,0,0,0,14,9293,0,0,197,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,12746.5205907296,1986,129,0,0,6,0,0,0,0,0,0,0,0,0,91,0,0,0,5,27,0,0,0,0,0
EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,3829.41804914309,1986,39791,0,18,0,0,0,0,0,37234,0,0,0,2512,27,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,13833.589022357,1986,178,0,0,164,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,11722.2850726427,1986,450,89,0,214,11,0,6,0,5,0,3,14,0,10,1,20,0,0,77,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,12675.7975816936,1986,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,12908.5051079675,1986,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,15938.8600047203,1986,1151,0,0,0,0,0,3,0,0,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,11635.0649479557,1986,131,0,0,0,0,0,0,0,0,0,0,0,0,94,0,37,0,0,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,13337.7713176318,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,12144.7659639857,1986,30,13,0,0,3,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,17362.0430059053,1986,58,1,0,0,0,0,0,2,0,0,0,0,0,53,0,2,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,16472.1129231166,1986,3408,0,0,0,0,0,12,0,0,0,0,0,0,3319,77,0,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,7365.92571959559,1986,109,0,0,3,0,0,0,0,0,51,0,0,0,48,0,7,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,12277.7125187572,1986,1812,0,0,54,20,0,2,0,0,0,4,1157,179,163,190,20,16,20,3,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,9146.62956844645,1986,11537,10211,0,28,0,0,0,0,0,0,0,850,0,2,0,0,0,285,161,0,0,0,0,0
NI,Nicaragua,country,Latin America and the Caribbean,12.865416,-85.207229,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,5591.8462764713,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,12910.4409867093,1986,34,0,0,0,0,0,0,0,0,0,0,29,0,2,0,3,0,0,0,0,0,0,0,0
PY,Paraguay,country,Latin America and the Caribbean,-23.442503,-58.443832,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1857.25828167368,1986,49824,0,0,0,0,15,182,0,0,12047,0,23278,100,0,13462,0,0,740,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,2969.30052453577,1986,5038,10,2,77,0,0,42,0,312,2972,22,0,1447,0,154,0,2,0,0,0,0,0,0,0
