sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AF,Afghanistan,country,South Asia,33.93911,67.709953,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,4282.26221631343,1986,408,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,2342.20561818507,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,4168.42537764448,1986,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,13688.6590237133,1986,47631,10,0,34,0,0,38365,0,6931,58,0,0,0,30,1593,610,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,13420.501153116,1986,15063,10248,0,0,30,0,22,856,2516,32,0,0,0,48,0,0,0,277,0,1034,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1752.29114255867,1986,1448,142,0,37,2,0,3,441,427,0,24,0,51,268,0,53,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,6386.09963993626,1986,627,0,0,0,0,0,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1814.73816543545,1986,6514,508,0,106,0,0,0,0,0,0,12,3113,473,1270,924,0,0,0,108,0,0,0,0,0
BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,11579.4818146066,1986,398,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,10783.2453711551,1986,27444,0,0,0,0,0,7838,52,6946,0,25,3,10923,1189,217,251,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,2136.31659847169,1986,3942,0,0,0,0,0,309,239,2476,0,0,38,0,83,0,797,0,0,0,0,0,0,0,0
BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,5948.52451461032,1986,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,7277.5796536637,1986,2814,0,0,0,0,0,0,0,0,0,0,0,2814,0,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,6171.81267108349,1986,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,6252.49791448611,1986,8518,6483,13,2,22,0,1232,2,79,233,0,0,10,291,0,44,0,0,0,107,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,13833.589022357,1986,4605,0,0,0,0,0,0,354,4217,2,0,0,0,12,0,0,0,0,0,20,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,7747.50800074592,1986,71,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,7737.29475667765,1986,233,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,5967.82324218899,1986,2835,0,0,0,3,0,509,1817,294,0,39,0,92,81,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,7971.70256675095,1986,544,0,0,0,0,0,0,527,3,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,10092.2215588093,1986,21886,0,0,0,0,0,0,0,1516,0,0,0,20243,127,0,0,0,0,0,0,0,0,0,0
KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,8366.546573657,1986,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,10053.4614664446,1986,22154,0,0,0,0,0,3,0,16398,0,0,0,5751,2,0,0,0,0,0,0,0,0,0,0
CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,6572.12716500708,1986,761,0,0,0,0,0,18,2,740,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,8595.76182539243,1986,60139,0,0,60109,0,0,0,0,10,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,3031.61113214144,1986,8289,0,0,0,0,0,0,0,8285,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1488.56768622582,1986,905,0,0,26,0,0,0,0,561,0,0,0,0,0,0,314,0,0,4,0,0,0,0,0
CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,7350.84817623893,1986,38,0,0,0,0,0,0,2,15,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1117.62682339627,1986,67172,15168,0,1084,0,0,0,0,0,1,0,4610,0,45110,313,197,8,0,564,125,0,0,0,0
DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,8489.28542232755,1986,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,10923.9784669786,1986,12237,0,0,0,0,0,0,1,11308,0,0,0,928,0,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,3925.78779986235,1986,3311,0,3,2750,0,0,0,23,254,269,0,0,0,12,0,0,0,0,0,0,0,0,0,0
SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,9892.55466894127,1986,314,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,5996.97628185666,1986,1229,0,0,0,0,0,0,2,0,0,2,0,1150,0,0,0,0,0,0,75,0,0,0,0
FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1693.87731709454,1986,20095,0,0,0,0,0,0,0,0,0,0,0,0,19854,0,0,0,0,0,241,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,2301.02314044378,1986,23136,254,0,350,0,0,0,18,17679,202,0,3144,0,729,0,454,0,0,289,17,0,0,0,0
GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,6394.52270420152,1986,10,0,0,0,0,0,3,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
