sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AF,Afghanistan,country,South Asia,33.93911,67.709953,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,5820.04986581806,1986,6575,0,0,0,1,1,0,0,6573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,3071.34559810487,1986,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
AD,Andorra,country,Europe and Central Asia,42.546245,1.601554,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,1474.14402705987,1986,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,6483.27248240945,1986,2946,0,0,0,0,0,19,442,0,0,0,2454,0,0,0,0,0,31,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,11895.1774933708,1986,293096,85819,0,0,364,0,47506,60,2774,646,0,140611,2000,333,10285,6,0,2692,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,15223.0729771432,1986,348162,241220,0,4095,8524,18,1438,3251,20568,25797,29,472,26,6074,1135,11803,0,19507,2586,1619,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,1516.98243114628,1986,16612,256,0,254,265,0,500,178,132,201,13,1877,1727,9444,0,290,0,8,1422,45,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,6749.18799614826,1986,5830,0,0,0,0,0,0,0,224,25,0,0,0,4,0,5563,0,14,0,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,5424.2630060903,1986,6,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,8101.03902961707,1986,22572,0,0,10,0,0,0,946,124,17245,4,0,3831,401,0,0,0,11,0,0,0,0,0,0
