sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,6380.21647395213,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,8039.9889029024,1986,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,4836.8103417259,1986,37,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,17549.8581297862,1986,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,8031.66964313269,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,1249.17599059633,1986,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,7442.83392368246,1986,617,32,0,2,0,0,0,22,138,0,0,0,4,7,0,333,0,79,0,0,0,0,0,0
BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,8937.02670768237,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,2026.88909969548,1986,196,0,7,0,21,0,0,4,15,0,5,49,13,2,0,29,0,51,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,8791.37726073618,1986,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
