sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,6597.66121886657,1986,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,9334.6402811809,1986,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,6170.56439943012,1986,279,0,0,0,7,1,0,121,8,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,18154.3964808916,1986,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,502.712483869139,1986,45,0,6,0,0,0,0,0,33,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,6914.35191690583,1986,1577,152,36,4,10,0,0,51,158,0,0,0,2,22,103,750,0,289,0,0,0,0,0,0
BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,10407.6668475724,1986,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,3650.90150224004,1986,165,0,0,0,0,5,3,3,19,0,35,0,0,3,0,0,0,97,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,8549.40223567452,1986,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,8127.54728057831,1986,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,5718.5745838192,1986,248,3,0,0,215,0,0,16,4,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0
CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,9062.87232890515,1986,128,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0
TD,Chad,country,Sub-Saharan Africa,15.454166,18.732207,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,8569.56365053676,1986,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,5947.91259429518,1986,68,0,0,0,2,0,0,4,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,15632.6312289924,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,13977.8503357284,1986,49,0,0,0,0,0,5,12,2,0,2,0,3,3,3,0,0,19,0,0,0,0,0,0
