sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,18241.0711946673,1986,2278,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,2089,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,5715.74799743523,1986,169278,79753,242,464,38,30,0,11825,15372,20239,2,7347,631,1853,4984,1801,14,8952,15387,358,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,8882.00143487563,1986,817,7,0,32,9,1,0,59,129,0,6,0,22,150,0,27,0,0,375,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,6395.68679765839,1986,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,2434.69734247981,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,9403.13526781859,1986,10187,1156,0,42,0,0,0,37,71,2,0,155,99,806,330,1625,0,687,4787,390,0,0,0,0
BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,10889.9362728192,1986,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,18306.1615705447,1986,26459,0,0,95,0,0,0,24,144,3857,15,0,26,737,8618,10,0,12902,16,15,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,10502.1050885388,1986,56656,9646,0,98,37,9,17551,574,611,0,9,2797,122,984,21235,22,0,2453,89,419,0,0,0,0
CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,10062.9070488438,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,18461.1184276931,1986,10577,0,0,12,0,0,0,0,10453,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,62.274473695268,1986,7873,269,0,134,46,47,267,98,264,528,11,385,45,3284,61,1588,104,251,407,188,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,1779.71468142797,1986,2233802,275145,30827,49740,228339,19599,116623,331277,143631,154830,31406,113822,15112,118874,15284,407985,48464,94879,72299,14130,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,716.490551733354,1986,122788,5365,6372,279,1114,22,835,58244,31467,461,16,923,264,12056,422,4466,278,92,374,16,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,16899.0961351163,1986,28,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,15962.7507466209,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,12668.0234094945,1986,1787,0,0,0,0,197,0,0,0,1583,0,0,7,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,14981.1159798285,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,7794.56015784003,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,8724.64170148005,1986,917,900,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0
