sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,11522.294499324,1986,47654,0,0,191,0,0,0,0,0,0,0,47326,0,129,0,8,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,15600.7918271035,1986,9028,0,0,6921,0,0,0,918,278,536,0,1,0,77,2,8,0,287,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1734.01805372052,1986,20,3,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,10,0,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,6441.08139131673,1986,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,8466.8138694039,1986,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,928.771767899146,1986,35519,9801,4931,468,10,40,40,112,696,45,0,13228,0,1561,3154,569,0,498,366,0,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,7848.76208188446,1986,31,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,5000.39888064552,1986,144,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BM,Bermuda,country,North America,32.321384,-64.75737,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,5008.34539550424,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,8601.55203375784,1986,29341,0,0,0,0,0,0,0,180,0,2,27875,75,1205,0,4,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,2742.32315215206,1986,136,0,0,88,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,5452.41118825635,1986,4202,0,0,0,0,0,0,0,0,0,0,4202,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,5754.4276230661,1986,52795,1363,0,18,4267,0,124,276,28,0,0,46298,4,367,0,50,0,0,0,0,0,0,0,0
CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,5839.39653926401,1986,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,11635.0649479557,1986,422,0,0,0,0,0,0,311,107,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,9948.41595196937,1986,85,3,0,0,0,0,0,0,0,0,0,3,0,77,2,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,8168.71280703145,1986,23194,0,0,0,0,0,0,5,0,0,4,23103,17,65,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,10160.7918025071,1986,53,0,0,7,0,0,0,22,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,8040.95730221526,1986,9813,0,0,0,0,0,0,0,9757,0,0,0,6,50,0,0,0,0,0,0,0,0,0,0
CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,6372.76935806374,1986,6600,0,0,6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,8189.0532349131,1986,131,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0
CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,5112.36256389571,1986,7534,0,0,0,0,0,99,0,56,77,0,7004,0,298,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,6764.17464337194,1986,4668,0,0,4667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,3817.83927780648,1986,5690,0,135,0,0,0,0,0,5533,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1678.98967209126,1986,77,0,0,0,0,19,0,0,15,0,0,0,17,26,0,0,0,0,0,0,0,0,0,0
CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,6981.90077263632,1986,5981,0,0,0,0,0,0,0,0,0,0,5963,18,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1177.33492217322,1986,22899,11044,10,159,0,0,0,20,30,0,0,8250,0,1661,35,514,0,992,184,0,0,0,0,0
EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,8872.9110488254,1986,24153,0,0,0,0,0,0,0,24153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,4359.11107429444,1986,161,0,0,0,0,0,0,25,8,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,2200.93856776253,1986,2671,70,35,1,0,0,0,0,0,0,0,35,119,61,0,28,0,0,2322,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1095.05431788211,1986,398294,257020,1426,58178,0,0,0,42,28473,613,0,50209,5,1351,114,1,0,239,623,0,0,0,0,0
GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,5103.04925977548,1986,250,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,2778.88640997066,1986,11682,1526,0,0,0,0,0,779,4189,20,0,5146,0,21,0,1,0,0,0,0,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,7872.8588451857,1986,3181,0,0,0,0,0,0,0,3181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,2076.81007318724,1986,480,0,0,0,42,0,0,182,85,0,0,127,13,7,0,24,0,0,0,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1420.52115337193,1986,17,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,8010.96437635991,1986,3679,19,0,0,0,0,0,0,0,0,0,172,2604,884,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,12152.5454027726,1986,11230,0,0,9900,0,0,0,0,13,0,15,0,487,215,600,0,0,0,0,0,0,0,0,0
IR,Iran,country,Middle East and North Africa,32.427908,53.688046,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,5359.09489417283,1986,40,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,4240.62484742095,1986,9135,41,0,0,0,0,0,396,8316,0,0,0,0,376,0,6,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,2008.54262526765,1986,30054,1673,401,1733,0,0,0,5319,9717,1,0,9382,15,356,96,1287,0,50,24,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,7026.56228858004,1986,275,0,0,0,0,0,0,0,53,0,2,0,0,0,0,220,0,0,0,0,0,0,0,0
