sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,12778.4823590509,1986,10747,130,0,0,0,0,0,134,543,731,0,0,20,0,138,0,0,9051,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,12233.9199820387,1986,9900,6320,0,0,0,0,0,0,19,3372,0,189,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,2518.93603381146,1986,2761,252,0,0,0,216,0,0,69,0,0,0,598,957,0,0,0,0,669,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,10501.8503333341,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,3313.58500759241,1986,9627,5705,0,1311,201,280,0,208,114,0,0,552,186,267,260,293,0,0,250,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,10530.356197234,1986,5506,0,0,0,0,0,0,0,1654,0,0,0,3,47,0,0,0,3802,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,1543.07245758219,1986,60,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,9660.7035018164,1986,161815,161658,109,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,13337.7713176318,1986,406,0,0,0,0,0,0,0,39,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,7777.95427366951,1986,2528,249,0,0,0,273,523,16,0,0,38,0,0,1429,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,8337.76545175539,1986,724,105,0,0,0,0,0,281,329,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,11558.3114795363,1986,228,0,0,0,0,0,53,0,127,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,12075.6787364288,1986,63,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0
CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,IL,Israel,country,Middle East and North Africa,31.046051,34.851612,4942.38956276781,1986,428,0,0,0,0,0,254,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0
