sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AF,Afghanistan,country,South Asia,33.93911,67.709953,IN,India,country,South Asia,20.593684,78.96288,1853.62385884276,1986,25951,0,0,0,0,2044,0,0,22097,0,494,0,0,1316,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,IN,India,country,South Asia,20.593684,78.96288,15944.4937324905,1986,40413,0,0,0,15,0,0,0,0,205,0,0,0,0,40193,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,IN,India,country,South Asia,20.593684,78.96288,7822.20859502744,1986,135198,0,0,0,111864,235,0,3,1371,21452,8,0,0,5,21,8,0,11,185,35,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,IN,India,country,South Asia,20.593684,78.96288,6437.52938332301,1986,139,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,IN,India,country,South Asia,20.593684,78.96288,2950.89653763373,1986,11635,0,0,0,0,11635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,IN,India,country,South Asia,20.593684,78.96288,1223.69420111112,1986,7884,0,0,0,0,0,0,0,0,7882,0,0,0,0,0,0,0,0,0,2,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,IN,India,country,South Asia,20.593684,78.96288,7179.44362627514,1986,94605,34,0,63983,500,0,0,0,0,1015,0,0,0,37,27998,1,0,0,1037,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,IN,India,country,South Asia,20.593684,78.96288,8273.46892622074,1986,32,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,IN,India,country,South Asia,20.593684,78.96288,7588.10442829324,1986,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,IN,India,country,South Asia,20.593684,78.96288,14791.8580213503,1986,330879,0,0,269923,0,0,0,0,0,26,330,0,0,503,60097,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,IN,India,country,South Asia,20.593684,78.96288,5523.32713588799,1986,13002,0,0,13002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,IN,India,country,South Asia,20.593684,78.96288,11481.960523134,1986,101918,0,0,0,7052,0,0,0,0,0,0,0,0,0,94866,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,IN,India,country,South Asia,20.593684,78.96288,3637.78716429995,1986,12348,0,0,0,11867,0,0,4,12,198,184,0,0,80,0,0,0,3,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,IN,India,country,South Asia,20.593684,78.96288,2987.13782743218,1986,245277,0,0,12064,230354,0,4,0,179,247,2293,0,0,130,6,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,IN,India,country,South Asia,20.593684,78.96288,4328.84367290069,1986,41751,0,0,0,34813,0,0,0,0,547,416,0,0,300,5675,0,0,0,0,0,0,0,0,0
KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,IN,India,country,South Asia,20.593684,78.96288,5273.87263733539,1986,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,IN,India,country,South Asia,20.593684,78.96288,7242.88217592895,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,IN,India,country,South Asia,20.593684,78.96288,9155.46018044623,1986,4180,0,0,0,0,4180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,IN,India,country,South Asia,20.593684,78.96288,14710.5811873107,1986,24093,0,0,23983,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,IN,India,country,South Asia,20.593684,78.96288,6393.14009265487,1986,22369,0,0,22369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,IN,India,country,South Asia,20.593684,78.96288,5072.86156635926,1986,6125,0,0,6000,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,IN,India,country,South Asia,20.593684,78.96288,6862.50540135813,1986,27663,67,0,27328,0,0,0,0,0,0,0,0,0,93,0,0,0,0,175,0,0,0,0,0
EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,IN,India,country,South Asia,20.593684,78.96288,16793.4109242017,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,IN,India,country,South Asia,20.593684,78.96288,15985.5521894045,1986,148,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,IN,India,country,South Asia,20.593684,78.96288,4317.97095895018,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,IN,India,country,South Asia,20.593684,78.96288,6117.97788902091,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,IN,India,country,South Asia,20.593684,78.96288,7377.15606258031,1986,111040,0,0,79244,250,268,5,0,60,193,10,0,0,196,30735,64,0,9,6,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,IN,India,country,South Asia,20.593684,78.96288,5785.58377076638,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
GW,Guinea-Bissau,country,Sub-Saharan Africa,11.803749,-15.180413,IN,India,country,South Asia,20.593684,78.96288,9982.09424318439,1986,6347,0,0,0,0,6347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,IN,India,country,South Asia,20.593684,78.96288,6061.87304466189,1986,5715,0,0,0,5715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,IN,India,country,South Asia,20.593684,78.96288,4490.02273639644,1986,76231,0,0,0,0,1918,0,0,0,0,351,0,0,2279,71649,0,0,0,0,34,0,0,0,0
IR,Iran,country,Middle East and North Africa,32.427908,53.688046,IN,India,country,South Asia,20.593684,78.96288,2830.92120484466,1986,7247,0,0,0,0,156,0,0,6701,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0
