sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,361.602871713566,1997,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1,4,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,5831.34375823883,1997,50,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,18041.9055397102,1997,335,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,7798.60087535824,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,2118.35237868058,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,7098.50815970995,1997,177,96,46,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,7,0,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,2971.19402331655,1997,73,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,3288.0198380753,1997,52,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,43,0,0,0,0,0,0
VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,636.64268623983,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,6075.1506474628,1997,3965,666,222,8,217,0,1,381,517,0,1,0,0,19,1,304,0,865,763,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,5630.87412975777,1997,67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,15960.5908850588,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,15973.7613885359,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,14281.2708077501,1997,27,0,0,0,0,0,0,25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,15845.7694254039,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,1793.53131223931,1997,162,118,0,0,0,0,0,0,0,0,0,0,29,15,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,2522.96758436951,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,1970.88408935499,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,13935.0268836963,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,7532.38154098287,1997,121,3,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,103,8,0,0,0,0,0
DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,172.834597373838,1997,53,39,0,0,0,0,0,0,1,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0
DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,1118.20042844596,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,2583.36762350394,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,9498.14120795844,1997,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,8484.8491132805,1997,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,6851.44949920424,1997,1953,705,0,26,0,0,2,0,7,0,0,0,5,73,2,966,0,0,167,0,0,0,0,0
GM,The Gambia,country,Sub-Saharan Africa,13.443182,-15.310139,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,4932.16517036676,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,7525.04835588232,1997,77,0,0,0,0,0,0,0,15,0,0,0,0,8,0,33,0,0,21,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,8433.93429956208,1997,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,195.441505158768,1997,5538,4901,0,0,0,0,0,0,0,0,1,561,0,0,0,75,0,0,0,0,0,0,0,0
GU,Guam,country,East Asia and Pacific,13.444304,144.793731,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,15872.704794001,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,3152.03459199921,1997,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,1032.10230994231,1997,8331,383,0,7936,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,14210.5898118717,1997,22,0,0,0,0,0,0,0,0,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,18472.6744701132,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IR,Iran,country,Middle East and North Africa,32.427908,53.688046,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,11387.9844856203,1997,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,6355.06153832078,1997,59,0,0,0,0,0,0,0,0,0,0,0,1,27,0,1,0,13,17,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,7634.4480460425,1997,52,1,0,0,0,0,1,0,0,0,0,0,0,1,0,49,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,1806.73157486265,1997,527,23,0,1,0,0,0,0,3,0,0,48,13,70,0,329,0,13,27,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,14103.5677000013,1997,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
LR,Liberia,country,Sub-Saharan Africa,6.428055,-9.429499,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,5698.57853446615,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,12360.9610169565,1997,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,17278.4030456344,1997,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,6097.38749100032,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,4496.44331151462,1997,52,33,0,11,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,5810.79199715383,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,7186.90011754823,1997,520,21,159,1,0,0,0,82,1,0,0,0,0,0,17,24,0,0,215,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,13880.1291317032,1997,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,281,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,7552.4868094161,1997,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,2242.22364747832,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,5862.02151318968,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,14415.9447655437,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,8600.86617377878,1997,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RU,Russian Federation,country,Europe and Central Asia,61.52401,105.318756,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,11553.6430330265,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KN,St. Kitts and Nevis,country,Latin America and the Caribbean,17.357822,-62.782998,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,429.822872019757,1997,128,8,0,0,0,0,0,0,0,0,0,0,0,0,95,25,0,0,0,0,0,0,0,0
VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,108.261238539775,1997,11585,9503,911,0,0,0,0,0,16,0,0,1005,0,0,98,52,0,0,0,0,0,0,0,0
RS,Serbia,country,Europe and Central Asia,44.016521,21.005859,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,8312.27007687882,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL,Sierra Leone,country,Sub-Saharan Africa,8.460555,-11.779889,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,5397.98714204255,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,17650.4635761727,1997,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
ZA,S. Africa,country,Sub-Saharan Africa,-30.559482,22.937506,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,10233.3424635032,1997,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,6260.43469729091,1997,27,0,13,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,15165.6096215035,1997,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,8105.19531892559,1997,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,0,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,7316.60583823274,1997,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,16174.2505305859,1997,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,359.164516664202,1997,7247,1090,0,84,0,0,46,24,637,0,2,3222,44,466,518,803,0,50,261,0,0,0,0,0
TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,9576.01064260468,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,9022.39970411759,1997,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,6724.80070789504,1997,9301,599,886,3020,0,0,2,708,39,0,0,25,34,97,1,484,0,1202,2204,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,4299.26244035927,1997,14877,872,477,291,696,6,241,1257,886,0,12,172,105,776,248,1269,0,7397,172,0,0,0,0,0
VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,1035.25873904681,1997,103,14,0,0,0,0,0,0,0,0,0,0,0,73,2,14,0,0,0,0,0,0,0,0
VN,Vietnam,country,East Asia and Pacific,14.058324,108.277199,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,16706.6086953096,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,361.602871713566,1998,68,0,0,0,0,0,0,0,0,0,0,0,0,0,3,65,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,LC,St. Lucia,country,Latin America and the Caribbean,13.909444,-60.978893,5831.34375823883,1998,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,32,0,0,0,0,0,0
