sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,2294.08607455686,1992,394,0,0,11,0,0,0,40,10,84,0,0,2,1,10,236,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,13553.1110552874,1992,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,1068.97647658604,1992,38,0,0,2,0,0,0,0,0,0,0,0,2,0,0,34,0,0,0,0,0,0,0,0
AZ,Azerbaijan,country,Europe and Central Asia,40.143105,47.576927,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,2417.95999320652,1992,829,11,0,7,0,28,0,440,31,172,0,0,0,2,0,138,0,0,0,0,0,0,0,0
BY,Belarus,country,Europe and Central Asia,53.709807,27.953389,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,309.603440297181,1992,9802,7563,476,9,0,0,0,99,132,195,0,1005,0,1,91,220,0,2,9,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,1399.09853401395,1992,149,1,0,6,0,0,0,8,2,0,0,0,1,0,2,129,0,0,0,0,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,9796.42637544838,1992,70,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,6854.68690827576,1992,8042,8042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR,Croatia,country,Europe and Central Asia,45.1,15.2,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,1278.47792769377,1992,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,908.150911275706,1992,22146,21539,0,53,0,0,0,0,2,0,0,0,7,0,0,542,0,3,0,0,0,0,0,0
EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,387.51580969555,1992,163,0,0,0,0,0,0,0,0,17,0,0,2,42,0,102,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,759.624501422084,1992,12,0,0,0,0,0,0,1,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,1811.70887335972,1992,10398,10398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,2009.54753970233,1992,514,0,0,4,0,0,0,124,114,222,0,0,42,1,0,7,0,0,0,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,998.705541279097,1992,35481,27685,0,48,0,0,0,52,27,0,0,2847,47,8,56,4711,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,941.79415504157,1992,357,0,0,3,0,0,0,7,17,4,0,0,11,226,0,89,0,0,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,2821.71130453018,1992,28,0,0,0,0,0,0,0,0,6,0,0,0,22,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,1694.30286429763,1992,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
KZ,Kazakhstan,country,Europe and Central Asia,48.019573,66.923684,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,3028.11664966171,1992,771,254,0,0,0,0,0,153,0,360,0,0,4,0,0,0,0,0,0,0,0,0,0,0
KG,Kyrgyz Rep.,country,Europe and Central Asia,41.20438,74.766098,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,3976.90247549544,1992,641,0,0,0,0,0,0,17,0,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Latvia,country,Europe and Central Asia,56.879635,24.603189,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,195.60068204443,1992,3419,6,46,11,0,0,0,581,9,358,0,157,0,11,4,421,0,0,175,1640,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,1268.00946322057,1992,543,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
