sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AF,Afghanistan,country,South Asia,33.93911,67.709953,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,4272.09892934693,2006,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,185.202170776218,2006,686,0,0,20,0,0,0,622,6,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,12307.576110154,2006,1367,74,0,0,0,1,0,91,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,13841.3997368716,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,655.492179257799,2006,13499,209,9,45,0,0,0,533,616,0,1,62,496,49,23,2078,0,9378,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,8126.59463216734,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,1428.16674095218,2006,1266,0,11,1002,0,0,0,1,18,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0
BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,10682.3123670211,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,192.126869784016,2006,4968,1238,368,19,0,0,0,927,274,0,3,169,199,655,22,377,58,178,539,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,9625.77929856153,2006,14896,0,0,5442,0,0,0,10,23,0,0,1196,8157,44,0,0,0,24,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,499.706207629589,2006,519,384,0,4,0,0,0,1,0,5,0,0,79,37,0,0,0,0,9,0,0,0,0,0
KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,8718.96510667227,2006,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,7913.70418630763,2006,563,0,0,1,288,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,12679.1174657337,2006,72,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,7033.74958738116,2006,557,0,0,17,0,6,16,476,18,0,0,0,19,5,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,9973.18010127026,2006,72,0,0,49,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,10335.4391689182,2006,285,0,0,0,0,0,0,4,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,4613.26239583515,2006,18,0,0,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
HR,Croatia,country,Europe and Central Asia,45.1,15.2,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,427.638498857229,2006,5692,575,0,93,0,11,25,108,140,0,5,0,202,1441,619,1296,90,40,1137,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,8970.07751342723,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,1478.20414776711,2006,65,0,0,0,0,0,0,0,63,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,846.09364091471,2006,3495,2400,0,1073,0,0,0,0,0,0,0,0,20,0,0,2,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,1665.46659390427,2006,47,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,8114.03742629544,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,10774.8809889145,2006,7421,0,0,0,0,0,0,0,7420,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,2049.87546190994,2006,656,123,0,0,23,0,2,127,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,2180.09935668298,2006,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,1415.22518036063,2006,2705,0,0,2578,0,0,0,7,27,0,0,3,2,29,0,59,0,0,0,0,0,0,0,0
GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,1961.80346452298,2006,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,1158.47543550597,2006,4405,748,17,1347,0,0,3,7,113,6,17,156,82,67,2,470,0,156,1214,0,0,0,0,0
GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,4354.13991516237,2006,22,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,454.033347854666,2006,448,2,0,0,0,1,5,37,319,20,0,0,1,46,17,0,0,0,0,0,0,0,0,0
GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,ME,Montenegro,country,Europe and Central Asia,42.708678,19.37439,8363.25167073736,2006,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
