sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,18211.9707999494,1986,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,5718.54283350298,1986,4440,652,0,8,2,0,0,2,65,1915,0,10,23,31,311,58,0,373,990,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,8858.71849577234,1986,8,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,9385.56461635879,1986,28,0,0,0,0,0,0,0,5,0,0,0,2,0,0,3,0,10,8,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,18265.3792539993,1986,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,571,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,10543.6400798961,1986,314,0,5,0,219,0,0,0,9,0,0,0,4,0,11,0,0,66,0,0,0,0,0,0
CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,10007.8729002781,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,18458.2895616713,1986,256,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,62.274473695268,1986,28423,6267,118,771,221,14,54,3244,688,1123,11,1942,31,2181,1728,7104,109,459,2467,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,1770.09514326119,1986,78208,13223,2463,3424,1247,439,262,24451,7105,832,235,1177,376,3137,1759,9008,3337,5480,3590,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,778.262223207471,1986,1088,116,2,6,4,0,0,229,199,175,0,0,1,189,8,153,0,0,6,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,15017.6962153879,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,10372.1537971546,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,8803.17482352954,1986,385,90,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,292,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,7737.29475667765,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,9764.58742003451,1986,530,1,2,0,49,0,0,5,5,0,0,0,8,122,0,305,0,26,7,0,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,15348.1505232908,1986,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,8520.88215035264,1986,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,3581.04396829144,1986,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,2559.34275162869,1986,77,0,0,1,0,0,0,0,0,0,0,0,66,0,0,0,0,0,10,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,9937.98162970487,1986,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,9245.69218812881,1986,85,70,0,2,0,0,0,6,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,15397.685044616,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,2849.269236333,1986,5343,3512,6,220,52,4,0,158,79,45,0,0,6,209,539,115,0,396,2,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,8541.73213474044,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,2359.27794475518,1986,189,11,0,13,0,0,97,0,3,0,0,0,5,48,0,0,0,0,12,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,9249.87767304284,1986,1359,54,5,4,383,0,0,2,24,0,0,0,16,23,183,81,0,70,514,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,9455.19532567535,1986,2278,0,0,0,0,0,0,12,62,1651,0,0,0,4,6,0,0,290,253,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,1355.36519317366,1986,1566,0,0,0,0,0,55,89,1403,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,8383.39145287092,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,10894.4497903576,1986,827,3,0,0,4,0,11,31,3,0,1,0,0,9,32,705,0,28,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,2055.3788844139,1986,2879,7,0,2850,0,0,0,0,0,0,0,0,0,9,3,10,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,2548.36253900921,1986,1451,19,0,225,9,0,61,12,15,0,79,0,8,16,30,583,0,0,394,0,0,0,0,0
ZA,S. Africa,country,Sub-Saharan Africa,-30.559482,22.937506,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,11306.5173313494,1986,373,0,0,0,0,0,0,4,228,62,0,0,4,2,55,0,0,18,0,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,3854.05768023471,1986,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,8805.91963285727,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,8153.91900587281,1986,30,3,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0
