sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,4301.88436322364,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,8013.57009220308,1986,825655,560974,0,0,56602,0,196948,0,160,1399,0,0,39,1334,8159,0,0,0,40,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,14369.711052524,1986,140907,113787,0,0,0,0,24546,0,0,2335,0,0,0,22,34,4,0,33,146,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,9930.96025704045,1986,54,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,7,29,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,9130.71092349793,1986,1515,0,0,0,0,0,0,0,0,12,0,15,0,5,0,0,0,0,1483,0,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1631.06530517498,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,6140.5101477596,1986,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,6936.0475086936,1986,4325,0,0,0,0,21,1841,0,0,0,879,181,0,1276,127,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,10931.3175618092,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,3630.68555261904,1986,252087,111522,557,0,102,0,119987,0,29,0,0,0,0,235,3431,23,47,796,15405,0,0,0,0,0
