sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,17921.6231298064,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,14035.8032904426,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,9396.35490511559,1986,9172,0,0,0,0,0,0,0,15,0,0,0,0,128,9029,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,4162.27214264836,1986,163516,33340,0,65470,589,61,2092,3860,36764,201,25,7183,1301,150,2216,6706,0,769,465,2324,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,18310.6283212618,1986,74,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,11283.724065472,1986,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,18736.7606707317,1986,923,2,0,35,0,0,2,0,2,19,0,0,7,0,856,0,0,0,0,0,0,0,0,0
BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,12353.7921077055,1986,37,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,12234.2778670789,1986,2571,0,0,190,0,8,0,2,1551,42,3,0,66,690,19,0,0,0,0,0,0,0,0,0
BN,Brunei Darussalam,country,,4.535277,114.727669,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,7919.90059738602,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,17504.5714485223,1986,29,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,13078.8822655872,1986,2831,1,0,32,734,0,384,9,335,0,0,33,0,25,680,6,0,589,3,0,0,0,0,0
KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,12627.1217964497,1986,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,9146.62956844645,1986,33,0,0,17,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,9432.9557257228,1986,416,7,0,10,9,42,167,23,23,53,0,0,43,0,23,16,0,0,0,0,0,0,0,0
