sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,3447.47537665619,1986,723904,651772,0,0,61,0,0,0,755,0,0,0,4,9556,46992,107,0,14347,30,280,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,15091.8392178697,1986,90403,90399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,10074.004411458,1986,16840,4878,3916,7,0,0,0,0,0,0,0,4,0,4,225,867,0,0,6939,0,0,0,0,0
BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,1470.19360456717,1986,21761,0,0,4554,0,0,71,0,0,0,0,15995,0,0,179,180,0,6,0,776,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,2577.13762024193,1986,33451,3,20,25454,0,0,0,0,0,0,777,2637,0,612,423,0,44,3504,21,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,7824.25713309679,1986,195630,182411,0,0,440,0,96,0,0,0,0,0,0,181,1038,0,28,0,11464,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,2969.30052453577,1986,41584,8396,1229,0,5907,107,15,2216,18171,0,0,0,0,176,0,190,229,4214,359,604,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,18273.6432372328,1986,67,15,0,0,0,0,0,18,0,0,7,0,0,21,6,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,17067.3501921292,1986,40043,40021,0,4,0,0,0,8,0,0,3,0,0,1,6,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,17693.0836071673,1986,26,5,0,0,0,0,0,10,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,1533.91843953097,1986,13188,239,0,2746,0,0,0,0,0,0,0,0,0,169,0,247,0,9783,4,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,2319.99050235685,1986,10492,10492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,3432.15177045175,1986,38280,0,0,38057,0,0,0,0,0,0,0,0,0,0,0,41,0,0,182,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,10833.814688868,1986,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,15916.3446355008,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,10532.2963810748,1986,889,5,0,3,0,0,0,0,0,0,0,0,0,60,0,70,0,751,0,0,0,0,0,0
DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,3125.13814561336,1986,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,891.126699583309,1986,20245,0,5178,10,920,0,50,0,3546,0,0,0,693,6608,49,18,0,0,23,3150,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,11483.7742967201,1986,2376,2200,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,9791.39891655932,1986,20339,12836,7151,4,0,0,0,0,0,0,22,0,0,67,29,61,18,0,169,0,0,0,0,0
VA,Vatican City,country,Europe and Central Asia,41.902916,12.453389,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,10492.53190198,1986,2306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2306,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,11108.2549921566,1986,44,0,0,0,0,0,0,0,0,0,0,42,0,0,0,2,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,16970.280582432,1986,153,0,0,0,0,0,0,0,0,0,129,0,0,24,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,18548.9357740644,1986,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,9355.34268491302,1986,3629,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,3361,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,12434.6329016294,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,10501.3654013302,1986,427,3,0,147,0,0,0,1,0,0,0,12,0,229,0,11,0,24,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,15528.4619541812,1986,6,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0
MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,12941.1299163174,1986,8,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,19391.0814911658,1986,919,0,0,0,0,0,0,0,0,0,0,0,0,50,869,0,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,4725.40867650496,1986,304,0,0,0,0,0,0,0,243,0,48,0,0,12,0,1,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,10172.1555439901,1986,37109,22346,0,12136,0,1,9,0,0,0,22,16,0,869,97,0,144,2,1611,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,10990.9553522264,1986,59860,15750,0,0,0,0,0,0,0,0,0,0,0,31,0,1,0,25997,18081,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,10553.5788798623,1986,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,2074.46267112522,1986,121,0,0,0,0,0,0,0,0,0,0,0,0,40,2,79,0,0,0,0,0,0,0,0
PY,Paraguay,country,Latin America and the Caribbean,-23.442503,-58.443832,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,2372.65616583173,1986,24350,0,0,0,0,0,0,0,0,0,0,17003,0,0,0,0,0,7347,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,18158.2616137336,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,11107.5775265496,1986,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,8739.36270995387,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,16273.4046428638,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,19155.5089730436,1986,6632,0,0,0,0,0,0,0,0,0,28,0,0,6585,19,0,0,0,0,0,0,0,0,0
ZA,S. Africa,country,Sub-Saharan Africa,-30.559482,22.937506,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,10251.0171636278,1986,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,9138.4917842534,1986,3131,3000,0,0,0,2,0,8,17,0,16,0,0,9,9,67,0,0,3,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,17368.4279930376,1986,999,0,0,0,0,0,0,0,0,0,934,0,0,16,49,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,11107.4501209821,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,10254.6133810688,1986,217,0,0,14,0,0,0,0,0,0,0,0,0,63,0,0,0,0,140,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,19176.7304730114,1986,83667,83667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,12410.0757281223,1986,977,0,0,0,0,0,0,0,0,0,892,0,0,85,0,0,0,0,0,0,0,0,0,0
