sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AD,Andorra,country,Europe and Central Asia,42.546245,1.601554,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,896.348244607859,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,6247.60329178491,1986,5557,0,0,0,0,0,0,0,0,0,0,0,5557,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,10341.1788731681,1986,450050,125671,1273,67,1903,0,268735,42,18,3725,0,48134,30,140,245,0,0,49,0,18,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,16168.9680259486,1986,27470,13156,0,475,59,0,4573,0,479,7388,0,0,0,280,9,1,0,181,0,869,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,2039.80846955046,1986,2155,0,0,12,0,0,0,0,0,29,0,4,33,1,2,0,0,139,1863,72,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,9062.32997474219,1986,3299,0,0,0,0,0,0,0,0,3290,0,0,0,9,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,1585.40676249547,1986,10635,166,3563,3437,31,0,4,0,20,335,279,323,18,572,233,0,0,1217,0,437,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,7992.9103075025,1986,10247,0,0,10247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,3510.07041402688,1986,12343,0,0,0,0,0,0,0,0,12343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BM,Bermuda,country,North America,32.321384,-64.75737,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,5077.8401237967,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,8449.8030902276,1986,135,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,7495.15173039103,1986,155558,35,0,32525,0,0,79252,3,121,2251,1,36300,3513,1221,135,48,0,113,0,40,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,2834.41484129989,1986,97,0,0,0,0,0,0,0,0,0,0,13,0,84,0,0,0,0,0,0,0,0,0,0
BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,3094.1123542315,1986,1199,0,0,0,0,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,6155.55249063545,1986,349,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0
CV,Cape Verde,country,Sub-Saharan Africa,16.002082,-24.013197,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,3023.29495713428,1986,1741,0,0,0,0,0,0,0,1730,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,4116.37557674823,1986,1153,0,0,0,0,0,0,0,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,6925.59693983038,1986,235940,225321,4011,0,55,0,64,0,0,0,0,2,0,15,2470,15,0,1,1,3985,0,0,0,0
CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,4673.32825877857,1986,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
TD,Chad,country,Sub-Saharan Africa,15.454166,18.732207,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,3739.33306482844,1986,15065,0,0,0,0,0,0,0,0,15065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,10582.6851006417,1986,1480,0,0,0,1168,0,0,0,0,0,0,134,0,112,0,0,0,4,0,62,0,0,0,0
