sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,658.655593007186,1989,2242,0,0,0,0,0,0,0,298,0,46,0,0,1461,0,437,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,12875.5470488911,1989,2334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2334,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,13428.9752331599,1989,4490,0,0,0,0,0,0,0,0,995,0,0,0,0,0,0,0,0,0,3495,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,813.211230610107,1989,48,0,0,0,0,0,0,0,39,0,0,0,0,9,0,0,24,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1596.55636949888,1989,873,0,0,0,0,0,0,0,0,210,0,54,0,0,0,0,0,0,0,609,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,359.635230675979,1989,5423,100,0,0,30,0,2,713,1433,1558,0,0,0,1441,0,0,0,146,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,7800.24387178259,1989,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,3420,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,6483.49265127148,1989,29795,0,0,5000,0,0,5000,0,1194,10660,0,1000,2738,1133,0,0,0,2441,629,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,10365.3713878841,1989,500,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,9245.77106048382,1989,244964,0,0,244119,0,0,0,0,470,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,828.787759437161,1989,44554,3205,37136,0,0,0,347,0,0,0,0,0,0,0,0,0,0,3866,0,0,0,0,0,0
KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,7737.52380291415,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1570.50159238546,1989,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,2190.47454238944,1989,552,0,0,0,0,0,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,4356.01048851759,1989,1676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1676,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1750.9993494264,1989,9423,0,0,2,0,0,0,0,0,630,0,400,83,193,0,0,0,8115,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,806.782830417975,1989,30152,0,0,0,0,0,0,0,29567,0,0,0,300,0,0,0,0,0,0,285,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,439.605106289433,1989,3392,125,0,0,0,0,0,0,0,222,0,0,0,178,150,0,0,2717,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,5627.04564582136,1989,3132,0,0,0,0,0,0,0,0,0,149,0,2584,0,0,0,0,0,0,399,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,10000.9808396908,1989,999,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,2505.76696060573,1989,310,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1865.18890768338,1989,2430,0,0,0,0,0,0,0,0,2418,0,0,0,0,12,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1091.27689711207,1989,2152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2125,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,8717.07639116952,1989,223,0,0,0,0,0,0,0,0,163,0,60,0,0,0,0,0,0,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,5271.8393820232,1989,1610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,8678.04053034141,1989,2558,0,0,0,0,0,0,0,0,0,0,0,0,2558,0,0,0,0,0,0,0,0,0,0
