sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,8618.00878557655,1990,497,96,73,0,0,0,0,147,23,0,0,0,0,15,0,43,0,50,50,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,7053.79611296865,1990,26,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,14524.2881694513,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,3447.54585344228,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,7834.6337408069,1990,131,12,0,0,0,0,0,10,0,0,0,107,0,0,0,2,0,0,0,0,0,0,0,0
BM,Bermuda,country,North America,32.321384,-64.75737,SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,13124.4459684221,1990,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,11756.5907970945,1990,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,7050.37678669228,1990,42,33,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,6787.09809805598,1990,1213,1080,20,0,0,8,0,70,0,0,2,0,0,15,0,0,0,18,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,7764.47173966996,1990,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,14662.9782494868,1990,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,8853.2801486592,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,SC,Seychelles,country,Sub-Saharan Africa,-4.679574,55.491977,7963.21928725099,1990,234,101,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,76,55,0,0,0,0,0
