sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AF,Afghanistan,country,South Asia,33.93911,67.709953,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,5221.20710246478,1986,58,0,0,0,0,0,0,0,0,0,0,0,0,43,15,0,0,0,0,0,0,0,0,0
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,11139.3386371765,1986,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WS,Samoa,country,East Asia and Pacific,-13.759029,-172.104629,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,9414.38008027181,1986,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,8,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,15716.9785203404,1986,47535,43735,0,0,0,0,0,720,0,0,0,0,0,8,1499,0,0,1572,1,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,4381.46321205675,1986,369533,148898,700,113311,1230,13,227,24493,34710,293,36,8757,394,1520,1519,3342,129,8328,21762,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,9852.86236601371,1986,294,7,0,15,42,0,0,0,110,0,0,0,12,28,15,63,8,0,2,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,6311.14368143857,1986,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,2879.17008205952,1986,1609,0,30,0,0,20,0,0,0,620,27,520,392,0,0,0,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,17588.7691625279,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,10562.1505271109,1986,4454,783,12,500,0,0,0,57,121,16,0,46,152,151,2,559,0,127,1928,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,11257.1142254879,1986,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BT,Bhutan,country,South Asia,27.514162,90.433601,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,3243.47037884305,1986,49,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,8959.2650423228,1986,9524,0,0,0,0,0,0,0,2762,0,0,0,0,136,6626,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,17007.8406122175,1986,6802,0,0,76,0,0,0,10,437,122,77,0,194,606,1620,88,0,3570,2,0,0,0,0,0
BN,Brunei Darussalam,country,,4.535277,114.727669,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,1263.20905664743,1986,481,1,0,0,0,0,0,8,0,0,0,250,32,2,0,165,0,23,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,8964.79952374826,1986,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,10161.1470017161,1986,204,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,13082.5807805092,1986,30043,67,0,15,321,0,27513,621,690,0,0,0,17,179,23,18,0,36,543,0,0,0,0,0
CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,9214.25778153927,1986,49,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,16186.7150820396,1986,1382,0,0,2,0,0,0,21,1073,0,0,0,0,280,0,0,0,0,6,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,2593.89006017595,1986,42363,2453,327,324,1196,139,325,1709,1321,46,583,12031,93,3781,777,17001,0,124,133,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,2548.36253900921,1986,81,2,0,0,0,0,0,0,33,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,3841.78448282769,1986,469185,11782,22940,16303,20510,6119,41852,69485,26523,946,24858,179592,4632,18236,4888,7083,0,9889,3547,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,3099.24380374555,1986,74755,345,12110,3346,455,36,105,30677,21368,11,184,789,53,3110,86,1042,37,224,814,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,19345.7095006927,1986,570,0,0,22,0,0,17,0,0,0,0,0,515,0,0,0,0,16,0,0,0,0,0,0
