sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AF,Afghanistan,country,South Asia,33.93911,67.709953,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,4601.93982134129,1992,33,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,3,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,694.743085352415,1992,1558,0,0,0,0,0,0,695,42,0,5,0,0,745,0,71,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,12237.8079569646,1992,23245,4800,0,0,0,0,0,74,195,12,0,18079,0,39,43,0,0,3,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,14199.1958903943,1992,446,0,0,0,0,0,0,0,8,44,0,0,0,0,0,23,0,139,0,232,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,155.688978478104,1992,176638,150361,92,3044,0,37,31,2293,2812,67,23,2420,925,189,3939,7369,20,1493,1541,2,0,0,0,0
AZ,Azerbaijan,country,Europe and Central Asia,40.143105,47.576927,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,2708.72324137424,1992,51,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,7041.42271171751,1992,1610,0,0,0,0,0,0,0,0,1300,0,0,0,310,0,0,0,0,0,0,0,0,0,0
BY,Belarus,country,Europe and Central Asia,53.709807,27.953389,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1249.58416727336,1992,32,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,10,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,916.13681112081,1992,3347,151,93,646,0,0,0,227,49,58,0,1019,35,507,133,0,8,420,6,3,0,0,0,0
BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,10469.9223254133,1992,183,0,0,0,0,0,0,67,13,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0
BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,326.288141559035,1992,3346,63,14,613,0,13,0,334,1446,0,58,62,0,553,42,78,0,13,0,57,0,0,0,0
BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,7685.68180375515,1992,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,9470.26212606,1992,35099,24,0,2,0,1,698,0,343,103,53,29775,4037,2,58,0,0,3,0,0,0,0,0,0
VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,7764.42892314613,1992,2226,0,0,0,0,0,0,0,894,0,0,1184,134,14,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,915.472087205558,1992,6272,0,0,0,0,10,0,2606,378,44,0,0,0,0,23,19,0,792,0,2400,0,0,0,0
BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,4085.00306958621,1992,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,5706.13427955141,1992,313,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0
