sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,7802.86491067374,1988,987,0,0,0,0,0,0,0,0,0,0,0,0,39,948,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,16513.0113073467,1988,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,4356.36160439395,1988,4824,200,335,75,72,0,0,551,61,0,3,60,7,825,30,20,512,509,2076,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1914.73914647364,1988,101,0,0,0,0,11,0,0,0,3,87,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,5221.34915938273,1988,206,10,0,0,0,0,0,0,2,0,50,0,57,44,0,43,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,3032.52941145342,1988,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,8799.36969967166,1988,7851,5615,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,636,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,13086.2114601148,1988,957,0,0,0,0,0,0,3,0,0,0,0,933,21,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,11495.7995463353,1988,307,0,0,0,0,0,0,0,0,0,0,0,305,2,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,13587.2522493598,1988,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,6644.13536472076,1988,10011,10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1243.10698857908,1988,19638,238,13,178,0,58,1236,0,5938,0,19,0,1187,1563,8972,236,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,5291.97230921012,1988,964,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,12777.4670674366,1988,28,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,5077.13642477515,1988,924,6,0,10,0,0,0,0,57,0,0,0,0,151,4,49,0,617,30,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,3859.9368924676,1988,110262,71976,991,1984,213,20,816,1266,3683,7,181,455,934,2736,1591,2882,1505,2525,18001,0,1,0,0,0
GM,The Gambia,country,Sub-Saharan Africa,13.443182,-15.310139,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,149.52704809034,1988,551,418,0,0,0,0,0,0,7,0,0,0,0,0,0,78,0,48,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,4475.80278971551,1988,102,11,0,0,0,0,1,0,5,0,0,0,0,0,1,84,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,724.080010697117,1988,175,0,0,1,0,35,0,0,20,0,8,0,36,0,46,29,0,0,0,0,0,0,0,0
GW,Guinea-Bissau,country,Sub-Saharan Africa,11.803749,-15.180413,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,310.065745421151,1988,61,0,0,0,0,0,0,0,0,0,0,0,0,6,46,0,0,0,9,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,9801.45193672035,1988,10574,10500,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,71,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,14158.3465221717,1988,475,0,0,0,0,0,0,0,0,0,0,0,0,32,443,0,0,0,0,0,0,0,0,0
IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,6190.92348947231,1988,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,4366.30526553037,1988,96,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,20,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,4004.09866482769,1988,2721,871,14,501,0,3,0,141,16,0,0,0,4,530,238,59,0,242,102,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,13705.4678671087,1988,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,5481.49554576904,1988,163,5,0,2,0,3,2,0,14,0,0,0,5,5,0,127,0,0,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,6197.57964719469,1988,26,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,12722.7403780685,1988,6216,0,0,0,0,0,0,0,0,0,0,0,0,12,6204,0,0,0,0,0,0,0,0,0
ML,Mali,country,Sub-Saharan Africa,17.570692,-3.996166,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1169.56688916298,1988,9232,0,0,10,0,7734,100,0,91,0,53,150,1030,0,64,0,0,0,0,0,0,0,0,0
MR,Mauritania,country,Sub-Saharan Africa,21.00789,-10.940835,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,814.649055001943,1988,667,302,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,2065.69006708597,1988,2364,0,0,0,0,0,128,8,1901,0,232,0,0,19,0,76,0,0,0,0,0,0,0,0
MM,Myanmar,country,East Asia and Pacific,21.913965,95.956223,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,11432.1205335605,1988,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,4542.00073170807,1988,37417,570,14929,19,20,0,5,14388,139,0,23,12,34,308,1797,347,0,1278,3548,0,0,0,0,0
NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,2433.84565204456,1988,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,2589.59967372129,1988,35,0,0,0,0,16,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,5444.15153811705,1988,33,0,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0,0,0,0,0
PK,Pakistan,country,South Asia,30.375321,69.345116,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,8624.71177708625,1988,105418,105418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,7243.30149612163,1988,56,0,0,0,0,0,0,18,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,5122.74251594893,1988,419,122,0,0,0,0,24,128,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,2838.27237140938,1988,1246,0,0,0,0,0,0,0,0,3,0,0,0,0,1224,18,0,0,1,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,5073.25983032668,1988,74,0,0,0,0,0,0,66,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA,Saudi Arabia,country,Middle East and North Africa,23.885942,45.079162,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,6302.53269568213,1988,149,7,0,0,0,0,0,0,7,0,0,0,2,13,0,0,0,120,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,13014.0332658909,1988,100,0,0,0,0,0,0,0,0,0,83,0,0,17,0,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,3071.95497278311,1988,17330,6633,184,34,6,5,0,925,528,0,0,0,0,1956,393,6141,0,51,474,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,10357.1560029512,1988,9845,9845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,5744.91251211081,1988,686,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,656,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,4169.40953409661,1988,55,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,6,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,12174.9105517949,1988,75003,74966,0,0,0,0,0,0,35,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
TG,Togo,country,Sub-Saharan Africa,8.619543,0.824782,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1789.07837373382,1988,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0
TN,Tunisia,country,Middle East and North Africa,33.886917,9.537499,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,3238.28355944916,1988,149,31,0,0,0,0,0,0,84,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,4648.73016313215,1988,1459,9,13,9,0,0,0,44,0,0,0,0,0,8,946,275,0,59,96,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,8286.18527990894,1988,217628,208906,0,0,0,0,0,0,0,0,0,0,0,49,6012,0,0,230,2431,0,0,0,0,0
RU,Russian Federation,country,Europe and Central Asia,61.52401,105.318756,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,10077.153269666,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,2245.6650917197,1989,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,7802.86491067374,1989,1230,1066,0,0,46,0,0,0,0,0,0,0,0,10,0,0,0,8,100,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,16513.0113073467,1989,25,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,4546.71579297737,1989,220,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,6642.72724145278,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,6853.14428239464,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,4356.36160439395,1989,2889,45,0,100,0,0,68,313,62,0,0,0,0,921,4,98,0,152,1126,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1914.73914647364,1989,56,0,0,0,0,7,0,0,0,0,48,0,0,0,1,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,5221.34915938273,1989,1471,0,0,0,0,0,0,15,290,0,695,0,111,318,41,0,0,1,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,4936.65112710937,1989,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,3032.52941145342,1989,4185,0,0,0,0,0,0,0,0,0,0,0,2,0,4183,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,8799.36969967166,1989,17446,15830,0,0,0,0,0,0,0,0,0,0,0,0,1570,0,0,41,5,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,8199.99813240193,1989,26,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,13086.2114601148,1989,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,11495.7995463353,1989,3109,1,0,0,58,0,0,0,0,0,0,0,3029,21,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,13587.2522493598,1989,5793,5784,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,6644.13536472076,1989,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1243.10698857908,1989,24231,250,37,145,0,6276,1277,0,4870,0,24,0,2029,1711,7604,8,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,6707.74641049193,1989,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,5291.97230921012,1989,62,9,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,4774.59972592745,1989,11,6,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,12777.4670674366,1989,201,0,0,0,0,0,0,0,37,0,0,0,0,1,0,163,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,5077.13642477515,1989,3544,87,0,2750,0,0,0,0,52,0,0,0,0,226,3,77,0,269,80,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,6158.89144535875,1989,209,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,35,62,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,3859.9368924676,1989,202456,159286,1826,3817,3,24,1863,1189,3308,23,6,1098,122,4125,2001,6288,93,2793,14684,0,0,0,0,0
GM,The Gambia,country,Sub-Saharan Africa,13.443182,-15.310139,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,149.52704809034,1989,256,0,0,0,0,114,0,0,0,0,0,57,0,0,0,85,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,4475.80278971551,1989,1102,0,0,0,0,0,0,792,77,0,0,0,0,109,2,122,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,724.080010697117,1989,2169,0,95,8,5,25,0,0,184,0,197,0,1514,0,125,4,0,0,12,0,0,0,0,0
GW,Guinea-Bissau,country,Sub-Saharan Africa,11.803749,-15.180413,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,310.065745421151,1989,156,0,0,0,0,0,0,0,41,0,0,0,0,13,102,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,4803.25972471604,1989,41,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,5628.56848132875,1989,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,9801.45193672035,1989,62,0,0,0,0,0,0,0,0,0,25,0,1,10,0,0,0,26,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,14158.3465221717,1989,920,0,0,0,0,0,0,0,0,0,19,0,0,3,898,0,0,0,0,0,0,0,0,0
IR,Iran,country,Middle East and North Africa,32.427908,53.688046,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,7123.48239718138,1989,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
