sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,6381.23201845043,1991,12849,0,0,0,0,0,0,0,0,0,0,0,0,0,12824,25,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,9870.03202330924,1991,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,9073.10913159488,1991,7122,7009,0,65,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,5131.48920976222,1991,2096,0,0,0,0,0,0,0,0,0,0,5,0,0,2091,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,4944.18436656976,1991,4007,1658,0,0,318,0,128,0,0,0,0,0,0,0,1093,0,41,146,664,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,5802.48850442915,1991,753,10,0,56,0,0,0,358,97,0,0,0,5,80,0,147,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,15291.0034425231,1991,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,14748.2390386061,1991,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1903.09148217725,1991,87,0,0,0,0,0,0,0,0,0,0,0,79,0,0,8,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,718.870234963336,1991,5118,932,0,532,0,0,1,49,1640,6,15,5,182,444,855,18,0,89,350,0,0,0,0,0
