sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,711.699837920978,1986,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,5472.33471283131,1986,340,0,0,0,0,0,0,286,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,17770.9081694862,1986,8501,436,0,0,0,0,0,15,467,0,0,0,0,7,0,11,0,6955,610,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,8075.86832320684,1986,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,15116.9386815602,1986,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,333.201247831015,1986,796,76,127,0,0,0,0,0,12,0,0,0,5,116,82,187,0,158,33,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,7391.05388046573,1986,2786,313,0,475,1590,0,3,0,0,0,0,5,0,0,0,0,15,0,400,0,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,3030.87617195751,1986,158,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,2958.52425611145,1986,764,78,0,20,0,0,0,0,233,0,0,0,0,422,11,0,0,0,0,0,0,0,0,0
VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,935.725867270579,1986,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
