sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,18342.5857234006,1986,173710,173081,0,0,0,0,0,93,18,338,0,0,149,14,15,0,0,2,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,5623.9230835048,1986,544216,341957,35,6330,3328,0,4079,41,1412,77938,0,15181,8,560,34171,62,271,32453,21844,4817,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,9240.72783960742,1986,184,0,0,13,0,0,0,0,120,0,0,33,0,4,0,0,0,0,14,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,14262.6770208008,1986,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,3113.59306766267,1986,86,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,9697.38008812991,1986,6328,8,0,0,0,0,0,0,24,5463,0,210,4,234,340,0,0,0,45,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,12423.5755372024,1986,10190,0,0,0,0,0,0,0,0,10190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,18745.700462249,1986,48400,0,0,19963,0,7,0,0,0,28233,0,0,119,74,0,4,0,0,0,0,0,0,0,0
BN,Brunei Darussalam,country,,4.535277,114.727669,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,2235.64200625679,1986,106,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0
BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,12615.0071970796,1986,32370,0,0,0,0,0,0,0,0,32370,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,11552.6703763507,1986,13309,0,0,0,0,0,0,0,0,13309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,10097.296800686,1986,160723,101147,450,218,0,0,6598,6,3711,0,0,4609,0,1597,4173,16,923,0,4266,33932,0,0,0,0
CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,10734.6445572414,1986,6564,0,0,0,0,0,0,0,0,6564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TD,Chad,country,Sub-Saharan Africa,15.454166,18.732207,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,10528.5180696159,1986,1199,0,0,0,0,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,18240.8738589428,1986,14647,0,0,0,0,0,0,0,14063,11,0,0,0,573,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,716.490551733354,1986,35143,299,52,149,0,451,1421,446,993,787,1653,59,6,14997,13789,0,0,0,3,38,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,778.262223207471,1986,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,16481.4817781166,1986,26,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,11568.8201582761,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,15444.6101838191,1986,547,0,0,0,0,0,0,0,0,0,0,0,362,3,0,0,0,182,0,0,0,0,0,0
CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,13265.3054609692,1986,20814,0,0,0,0,0,0,0,0,20801,0,0,13,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,9070.06208719601,1986,10936,57,0,133,0,0,0,40,0,0,0,203,0,48,207,0,1016,15,10233,0,0,0,0,0
DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,15161.8154417991,1986,53,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,16846.551351892,1986,162,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,8870.30796610516,1986,704,0,0,0,0,0,0,0,0,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,14748.2390386061,1986,92,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,7775.66703867972,1986,21081,0,0,21000,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,7971.70256675095,1986,217,0,0,15,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,10110.8426562297,1986,4819,22,90,268,0,0,3,2,69,960,0,453,76,190,464,1900,4284,9,313,0,0,0,0,0
GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,12817.0565549204,1986,51,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,9119.88847440216,1986,462,0,0,2,0,0,0,0,457,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,14485.4338788373,1986,5743,0,0,0,0,0,0,0,0,5725,0,0,0,18,0,0,0,0,0,0,0,0,0,0
GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,16858.3990151396,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,15074.6415369529,1986,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,14792.7291740348,1986,3210,0,0,0,0,0,0,0,0,3124,0,0,86,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,8922.39586951263,1986,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,9588.71630070499,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,4328.84367290069,1986,18531,0,0,0,0,231,0,0,64,16161,10,0,0,2055,10,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,2830.21682941926,1986,263834,0,293,194966,114,0,2363,19,0,259,39,0,976,63366,1432,0,0,0,0,7,0,0,0,0
IR,Iran,country,Middle East and North Africa,32.427908,53.688046,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,6574.62178717036,1986,48,0,0,0,0,39,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,10160.7918025071,1986,1342,6,0,20,0,0,0,0,0,2,0,20,0,307,0,0,0,0,987,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,8337.76545175539,1986,1547,0,0,0,0,0,0,0,175,1352,0,20,0,0,0,0,431,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,9679.8108794407,1986,922,65,0,85,0,454,0,0,106,0,0,0,0,139,49,12,0,0,0,12,0,0,0,0
