sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AD,Andorra,country,Europe and Central Asia,42.546245,1.601554,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,7754.20300503637,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,5001.02112635816,1986,33571,3098,0,5,251,0,59,13,1978,0,3,0,69,27,27702,366,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,17020.5396702903,1986,7098,6538,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,8826.24740935869,1986,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,8132.25511379347,1986,20761,15004,0,4,0,0,0,0,0,10,27,462,0,40,32,77,0,0,5105,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,2812.81170754408,1986,928,12,0,80,0,0,0,0,0,0,75,0,0,669,89,0,0,0,3,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,9702.99338614297,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,6541.00400633055,1986,142513,109722,20633,0,11124,0,504,159,0,0,10,0,0,344,15,0,38,0,2,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,4715.03727099332,1986,24493,20,0,0,22508,0,0,0,501,0,0,296,0,11,0,1157,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,16828.355706758,1986,1906,11,0,0,0,0,0,18,2,203,0,0,15,1654,3,0,0,0,0,0,0,0,0,0
