sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,1095,0,0,0,0,0,0,0,0,0,0,0,1095,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,139,93,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,35,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,1253,0,0,0,0,0,0,324,21,0,0,0,0,307,0,0,0,601,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,103,2,0,81,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,16,0,0,2,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,50,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,40,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,26,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,67,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,1941,6,0,0,0,0,2,13,6,0,157,0,1539,218,0,0,66,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,719,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,700,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,61,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,525,3,0,0,0,0,0,0,0,0,0,0,0,0,175,64,0,2,281,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,876,7,0,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,11417,0,0,0,0,0,0,0,0,0,85,0,0,122,10770,0,0,0,440,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,784,0,0,0,0,0,34,0,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,1049,0,0,0,0,0,0,49,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,208,4,0,0,0,0,0,0,0,0,0,0,5,18,144,22,0,0,15,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,154,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0
RU,Russian Federation,country,Europe and Central Asia,61.52401,105.318756,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,250903,116892,0,122076,0,0,0,0,0,0,0,0,0,0,11935,0,0,0,0,0,0,0,0,0
BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,AF,Afghanistan,country,South Asia,33.93911,67.709953,1986,151,0,0,3,0,0,0,0,0,0,0,0,3,145,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,AF,Afghanistan,country,South Asia,33.93911,67.709953,1987,357,220,0,0,0,0,0,0,0,102,0,0,0,0,1,3,0,0,31,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,AF,Afghanistan,country,South Asia,33.93911,67.709953,1987,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,AF,Afghanistan,country,South Asia,33.93911,67.709953,1987,341,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,AF,Afghanistan,country,South Asia,33.93911,67.709953,1987,15,0,0,7,0,0,0,3,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,AF,Afghanistan,country,South Asia,33.93911,67.709953,1987,2699,0,0,9,0,0,0,0,0,0,0,0,2681,9,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,AF,Afghanistan,country,South Asia,33.93911,67.709953,1987,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,AF,Afghanistan,country,South Asia,33.93911,67.709953,1987,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,AF,Afghanistan,country,South Asia,33.93911,67.709953,1987,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,AF,Afghanistan,country,South Asia,33.93911,67.709953,1987,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,AF,Afghanistan,country,South Asia,33.93911,67.709953,1987,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,41,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,AF,Afghanistan,country,South Asia,33.93911,67.709953,1987,4621,47,0,4,0,0,0,46,16,0,192,0,4026,182,0,4,26,14,90,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,AF,Afghanistan,country,South Asia,33.93911,67.709953,1987,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,AF,Afghanistan,country,South Asia,33.93911,67.709953,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,AF,Afghanistan,country,South Asia,33.93911,67.709953,1987,140,0,0,13,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,AF,Afghanistan,country,South Asia,33.93911,67.709953,1987,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,AF,Afghanistan,country,South Asia,33.93911,67.709953,1987,456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,187,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,AF,Afghanistan,country,South Asia,33.93911,67.709953,1987,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,AF,Afghanistan,country,South Asia,33.93911,67.709953,1987,1237,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,0,0,0,0,0
