sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,8117.5396603274,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,6178.58723211504,2005,212,0,0,0,5,0,0,0,0,0,0,0,0,0,30,86,0,18,73,0,0,0,0,0
AW,Aruba,country,Latin America and the Caribbean,12.52111,-69.968338,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,1014.10925237942,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,18182.6936563378,2005,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,30,0,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,1845.61392285181,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,493.864653990224,2005,1328,131,0,28,9,118,0,3,140,0,0,134,2,88,285,323,17,24,43,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,6889.87420638548,2005,7,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,2838.34239719098,2005,66,0,0,0,54,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,3648.78317880022,2005,1107,30,0,0,0,0,0,0,0,0,0,0,12,0,28,0,0,1013,24,0,0,0,0,0
VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,337.348628883098,2005,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
