sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1992,106,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1992,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1992,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1992,1942,54,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2,1882,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1992,258,80,0,20,0,0,0,0,0,0,0,0,0,8,0,150,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1992,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1992,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1992,1192,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1992,19,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1992,1823,1710,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1992,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1992,41,26,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
SY,Syrian Arab Rep.,country,Middle East and North Africa,34.802075,38.996815,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1992,6047,6007,0,27,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1992,75481,69276,0,0,1796,0,0,0,33,0,0,0,13,0,1200,0,0,0,3163,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1993,25,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,18,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1993,16779,16648,24,34,0,0,0,0,0,0,0,0,0,0,3,67,0,3,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,1993,55,8,9,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
