sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,20600,4,0,0,0,0,106,23,0,0,0,0,84,59,20304,7,0,0,13,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,299,6,0,5,0,0,1,128,6,0,22,0,20,67,0,44,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,45183,664,4,4067,4548,2,159,7582,7818,10313,3,1354,238,372,2430,94,0,4238,1287,10,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,11863,0,0,202,0,1097,0,0,4302,0,1,34,3670,1745,726,0,0,86,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,832,0,0,0,0,0,0,278,0,0,0,0,0,0,0,1,0,0,553,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,16213,328,7949,172,547,0,155,2542,1403,0,106,0,0,2590,38,69,0,64,250,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,17,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,1986,16627,2279,24,267,18,778,2145,2482,2262,1824,34,0,402,3277,325,247,0,0,0,263,0,0,0,0
