sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AF,Afghanistan,country,South Asia,33.93911,67.709953,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,4401.8802583216,1986,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,369.098512792034,1986,1608,0,0,0,0,0,0,0,119,264,0,0,0,529,260,436,0,0,0,0,0,0,0,0
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,2273.57872823849,1986,7474,0,0,0,0,0,0,0,0,0,0,0,0,0,400,7074,0,0,0,0,0,0,0,0
AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,6135.80379367767,1986,59,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,12269.2316401602,1986,89507,0,0,0,1976,0,56666,0,0,103,0,0,20,0,30677,0,0,0,0,65,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,13986.0404939802,1986,20851,0,0,0,0,0,0,0,0,13905,0,0,0,0,0,0,0,0,153,6793,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,468.711069090338,1986,40628,36078,294,146,0,0,0,0,0,0,0,664,168,143,1414,0,2,581,1140,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,6861.45807975668,1986,15823,0,0,0,0,0,0,0,0,15715,0,0,108,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,1236.2364461263,1986,693,0,0,0,0,0,20,0,0,127,0,39,0,132,259,0,0,0,0,116,0,0,0,0
BM,Bermuda,country,North America,32.321384,-64.75737,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,7034.7067607726,1986,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,10590.8995886614,1986,184,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0
BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,7408.91627968834,1986,1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,9554.13629392259,1986,32492,0,0,0,0,0,0,0,829,0,79,0,31518,35,31,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,645.489241360717,1986,49329,47264,0,0,0,0,0,0,115,136,0,59,0,190,351,0,0,1214,0,0,0,0,0,0
KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,8839.26925262067,1986,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,7729.54047976294,1986,356,45,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,83,219,0,0,0,0
CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,4164.92248787833,1986,258,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,12619.5143842253,1986,78,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,8801.58197685603,1986,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
