sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,504,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,1655,509,0,0,0,0,0,0,411,0,0,0,0,0,0,10,0,557,168,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,4472,1,0,0,158,0,11,0,68,0,0,0,0,16,64,0,0,1836,2318,0,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,98,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,192,0,0,0,0,0,0,0,109,0,0,0,9,41,33,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,14588,2412,8971,292,76,3,15,285,141,0,98,35,88,332,27,32,0,1722,59,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,38,0,0,0,0,0,18,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,19,0,0,0,0,0,0,16,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,88,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,65,16,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,418,4,0,0,0,0,0,0,0,0,0,0,1,0,1,412,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,1386,0,0,1,0,0,0,0,0,0,0,0,10,18,0,46,0,1216,95,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,55,0,0,0,0,0,0,0,0,0,0,0,0,0,10,45,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,4604,100,0,21,0,0,0,80,2095,0,0,0,67,500,0,1716,0,25,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,3407,15,450,0,21,0,7,1382,4,0,0,160,68,140,3,26,10,0,1131,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,4286,0,0,0,0,0,0,0,68,0,0,0,0,0,64,0,0,1836,2318,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,87,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,113,0,0,79,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,1294,1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,3975,296,0,2295,0,5,2,81,26,0,8,0,35,808,0,418,0,1,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,3855,1285,3,245,0,12,4,107,65,28,10,26,201,320,32,813,0,203,501,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,88721,60224,120,83,268,12,95,1406,3042,0,27,15618,54,2707,1391,607,0,2510,557,0,0,0,0,0
UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0
VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1986,206,11,2,0,0,0,0,7,31,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1987,464,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,428,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1987,1632,480,0,0,0,0,0,0,295,0,0,0,0,0,0,5,0,770,82,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1987,56,0,0,0,42,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1987,315,0,0,3,0,0,0,0,76,0,0,50,7,48,0,0,0,131,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1987,13949,2008,9013,51,160,0,0,88,143,0,115,92,58,383,38,43,17,1540,217,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1987,35,1,0,0,0,0,0,5,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1987,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1987,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1987,170,0,140,0,0,0,0,0,17,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1987,102,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0,69,13,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1987,654,150,0,0,0,0,0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1987,46,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,39,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,1987,586,0,0,2,0,0,0,0,0,0,0,0,6,8,0,47,0,433,90,0,0,0,0,0
