sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,BD,Bangladesh,country,South Asia,23.684994,90.356331,17079.4012566986,1986,11793,0,0,0,0,0,0,0,0,0,0,0,0,0,11793,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BD,Bangladesh,country,South Asia,23.684994,90.356331,7183.84385171473,1986,97221,82782,0,0,0,0,328,0,105,0,0,0,0,0,8589,59,0,0,5358,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BD,Bangladesh,country,South Asia,23.684994,90.356331,7726.08236810151,1986,1567,112,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,1403,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BD,Bangladesh,country,South Asia,23.684994,90.356331,15943.1166773441,1986,23671,0,0,16114,0,0,0,0,0,0,8,0,0,3,7546,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,BD,Bangladesh,country,South Asia,23.684994,90.356331,6241.17871108374,1986,14175,0,0,13933,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BD,Bangladesh,country,South Asia,23.684994,90.356331,11013.2212979032,1986,209427,209186,0,0,0,0,0,0,3,0,0,0,0,24,0,0,0,0,214,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,BD,Bangladesh,country,South Asia,23.684994,90.356331,2434.69734247981,1986,617,0,0,0,0,0,0,0,11,1,14,0,0,0,0,0,0,0,591,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,BD,Bangladesh,country,South Asia,23.684994,90.356331,1899.98662669885,1986,1266,9,0,136,0,0,0,0,0,80,887,0,16,112,26,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,BD,Bangladesh,country,South Asia,23.684994,90.356331,3113.59306766267,1986,31,0,0,0,0,0,0,0,0,2,0,0,0,0,7,22,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,BD,Bangladesh,country,South Asia,23.684994,90.356331,16478.2366695342,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,BD,Bangladesh,country,South Asia,23.684994,90.356331,6962.89685678296,1986,9182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9182,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BD,Bangladesh,country,South Asia,23.684994,90.356331,7289.99220590719,1986,13369,0,0,0,0,0,0,0,0,0,0,0,0,5,0,157,0,0,13207,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,BD,Bangladesh,country,South Asia,23.684994,90.356331,5951.20804631553,1986,108,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,BD,Bangladesh,country,South Asia,23.684994,90.356331,8004.3512791765,1986,85285,71178,0,13943,0,0,0,0,0,0,0,0,0,10,104,50,0,0,0,0,0,0,0,0
GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,BD,Bangladesh,country,South Asia,23.684994,90.356331,8971.72847285584,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,BD,Bangladesh,country,South Asia,23.684994,90.356331,6580.05281721472,1986,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,BD,Bangladesh,country,South Asia,23.684994,90.356331,15643.4347446866,1986,12646,0,0,12636,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,BD,Bangladesh,country,South Asia,23.684994,90.356331,1223.69420111112,1986,20110,381,0,0,0,0,0,369,16895,2138,14,0,0,50,263,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,BD,Bangladesh,country,South Asia,23.684994,90.356331,3730.35439733117,1986,350,0,0,0,0,84,0,0,0,0,136,0,0,96,24,10,0,0,0,0,0,0,0,0
IR,Iran,country,Middle East and North Africa,32.427908,53.688046,BD,Bangladesh,country,South Asia,23.684994,90.356331,3711.49947717687,1986,931,0,0,0,0,0,0,0,0,0,931,0,0,0,0,0,0,0,0,0,0,0,0,0
IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,BD,Bangladesh,country,South Asia,23.684994,90.356331,4650.90722059297,1986,268,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,BD,Bangladesh,country,South Asia,23.684994,90.356331,8466.8138694039,1986,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BD,Bangladesh,country,South Asia,23.684994,90.356331,7307.76106779282,1986,256,241,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,BD,Bangladesh,country,South Asia,23.684994,90.356331,4773.96736698547,1986,12728,12636,0,0,0,0,0,0,28,23,3,0,0,17,1,5,0,0,15,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,BD,Bangladesh,country,South Asia,23.684994,90.356331,5366.13775759877,1986,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,BD,Bangladesh,country,South Asia,23.684994,90.356331,6243.44141209879,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,BD,Bangladesh,country,South Asia,23.684994,90.356331,6680.24355754325,1986,80,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,BD,Bangladesh,country,South Asia,23.684994,90.356331,7354.72901459482,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,BD,Bangladesh,country,South Asia,23.684994,90.356331,2501.45020206639,1986,58327,0,3184,11583,0,1014,0,0,140,0,35,0,6,293,42028,10,0,0,34,0,0,0,0,0
MZ,Mozambique,country,Sub-Saharan Africa,-18.665695,35.529562,BD,Bangladesh,country,South Asia,23.684994,90.356331,7593.02780869699,1986,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,0,0,0,0,0
MM,Myanmar,country,East Asia and Pacific,21.913965,95.956223,BD,Bangladesh,country,South Asia,23.684994,90.356331,607.482252415137,1986,23241,23184,0,0,0,15,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,BD,Bangladesh,country,South Asia,23.684994,90.356331,9342.91967400016,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,BD,Bangladesh,country,South Asia,23.684994,90.356331,7632.39230045145,1986,36002,113,2,461,0,39,0,0,0,0,0,0,0,99,9296,69,0,0,25923,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,BD,Bangladesh,country,South Asia,23.684994,90.356331,11283.724065472,1986,3283,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,0,0,0,1885,0,0,0,0,0
NI,Nicaragua,country,Latin America and the Caribbean,12.865416,-85.207229,BD,Bangladesh,country,South Asia,23.684994,90.356331,15940.1723970895,1986,16059,0,0,16059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,BD,Bangladesh,country,South Asia,23.684994,90.356331,7301.71989425854,1986,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
