sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,474.031713078071,1986,827,0,0,0,0,0,0,0,375,0,20,0,0,432,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,12731.7123450578,1986,186024,0,0,0,0,0,0,0,0,0,0,186024,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,13344.8309751771,1986,455,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,1009.11700508321,1986,10478,10048,0,0,0,0,0,0,0,0,0,0,46,0,0,384,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,6241.17871108374,1986,19457,0,0,0,0,0,0,0,0,19372,0,0,85,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,1815.92058812445,1986,408,0,0,0,0,0,0,0,0,260,0,0,0,139,0,9,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,10093.3253319584,1986,98399,0,0,0,0,0,0,0,0,0,0,95877,2522,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,8242.76848679233,1986,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,6574.9377757999,1986,20126,20003,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,10467.7178158384,1986,9151,0,0,0,0,0,0,0,7913,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
