sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,8889,8063,0,642,0,0,3,8,14,27,1,0,10,12,44,14,8,2,49,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,58,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,8,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,7623,7480,0,0,0,0,1,17,0,0,0,0,0,36,15,48,5,3,23,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,9,2,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,55,0,0,0,0,0,0,29,16,0,0,0,0,6,0,4,3,0,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,370,4,0,156,0,0,0,0,43,0,0,0,95,0,59,2,6,0,11,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,937,0,0,750,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,380,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,356,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,1344,1343,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1986,36,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,8436,8276,0,39,0,0,0,12,0,10,1,5,7,7,60,6,8,0,13,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,34,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,112,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,90,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,1545,1501,0,0,0,0,0,0,0,0,0,5,0,2,21,6,0,0,10,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,7,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,1269,1206,0,0,0,0,0,16,21,0,0,0,0,17,0,9,8,0,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,138,0,0,89,0,0,0,0,4,0,0,9,0,0,0,0,1,0,36,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,782,0,0,671,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,176,0,0,0,0,0,0,0,0,0,0,0,0,4,56,0,0,25,91,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,40,1,0,19,0,0,0,0,0,0,0,0,2,3,0,3,0,0,12,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1987,1316,1000,0,250,0,0,0,0,0,0,0,0,0,7,0,0,0,0,59,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,20,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,3896,3532,0,6,0,0,1,1,0,6,3,1,4,34,30,33,5,18,227,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,6752,6579,0,0,0,0,0,0,0,93,1,0,0,2,13,54,1,0,10,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,20,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,57,0,0,0,0,0,2,13,15,0,0,0,0,0,3,15,0,0,9,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,196,33,0,57,0,0,0,0,0,0,0,0,0,35,6,0,0,0,65,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,13129,0,0,13101,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,1325,1012,0,0,0,0,0,6,0,0,0,0,0,14,15,17,0,0,261,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,82,29,0,4,0,0,0,0,0,0,0,0,0,0,0,47,0,2,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1989,4380,4210,0,43,0,0,3,2,1,55,2,0,6,21,0,2,8,27,8,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1989,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,1989,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
