sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BM,Bermuda,country,North America,32.321384,-64.75737,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,BM,Bermuda,country,North America,32.321384,-64.75737,1986,34,0,0,0,0,0,0,0,0,0,0,0,0,3,0,31,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,BM,Bermuda,country,North America,32.321384,-64.75737,1986,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BM,Bermuda,country,North America,32.321384,-64.75737,1986,1822,3,0,0,0,0,0,8,70,0,0,0,0,0,0,61,0,896,784,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BM,Bermuda,country,North America,32.321384,-64.75737,1986,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BM,Bermuda,country,North America,32.321384,-64.75737,1986,5809,1374,1278,895,0,2,0,465,112,0,9,662,27,233,18,93,0,351,290,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BM,Bermuda,country,North America,32.321384,-64.75737,1986,846,5,1,1,0,0,0,18,11,0,0,0,0,1,9,317,0,384,99,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,BM,Bermuda,country,North America,32.321384,-64.75737,1986,1149,0,0,0,0,0,3,3,0,0,0,0,0,1,2,1124,0,4,12,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,BM,Bermuda,country,North America,32.321384,-64.75737,1986,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,16,22,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BM,Bermuda,country,North America,32.321384,-64.75737,1986,363,14,0,0,0,0,0,74,13,0,0,0,0,7,0,253,0,2,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,BM,Bermuda,country,North America,32.321384,-64.75737,1986,217,0,1,0,0,0,0,1,74,0,0,0,0,2,0,139,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,BM,Bermuda,country,North America,32.321384,-64.75737,1986,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,BM,Bermuda,country,North America,32.321384,-64.75737,1986,3495,1,0,4,0,0,0,0,0,0,0,0,28,13,0,2883,0,70,496,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,BM,Bermuda,country,North America,32.321384,-64.75737,1986,1750,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,896,784,0,0,0,0,0
PY,Paraguay,country,Latin America and the Caribbean,-23.442503,-58.443832,BM,Bermuda,country,North America,32.321384,-64.75737,1986,2200,0,0,0,0,0,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,BM,Bermuda,country,North America,32.321384,-64.75737,1986,235,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,BM,Bermuda,country,North America,32.321384,-64.75737,1986,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
