sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,BN,Brunei Darussalam,country,,4.535277,114.727669,16262.1835674072,1986,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BN,Brunei Darussalam,country,,4.535277,114.727669,3905.35554845055,1986,13728,524,85,4,3,3,0,2149,1899,0,13,1325,106,6232,20,646,0,511,208,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BN,Brunei Darussalam,country,,4.535277,114.727669,10405.8408394756,1986,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BN,Brunei Darussalam,country,,4.535277,114.727669,11034.0503963671,1986,185,0,0,0,0,0,0,0,0,0,0,0,0,1,0,127,0,2,55,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BN,Brunei Darussalam,country,,4.535277,114.727669,18218.4596178935,1986,176,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,173,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BN,Brunei Darussalam,country,,4.535277,114.727669,12320.9062286556,1986,71,0,8,0,7,0,19,30,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,BN,Brunei Darussalam,country,,4.535277,114.727669,16511.7330015213,1986,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,BN,Brunei Darussalam,country,,4.535277,114.727669,1989.40946092368,1986,1784,116,0,10,0,2,2,61,16,0,3,7,20,204,42,1203,3,98,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,BN,Brunei Darussalam,country,,4.535277,114.727669,3650.78989394783,1986,5485,374,897,36,339,45,417,724,718,0,158,70,56,548,12,292,0,372,427,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,BN,Brunei Darussalam,country,,4.535277,114.727669,2235.64200625679,1986,2644,72,657,54,8,1,1,524,720,0,0,57,0,171,0,374,0,2,3,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BN,Brunei Darussalam,country,,4.535277,114.727669,10527.2447765972,1986,1425,74,0,0,0,0,0,6,31,0,0,0,22,14,3,33,0,755,487,0,0,0,0,0
DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,BN,Brunei Darussalam,country,,4.535277,114.727669,17392.0650614908,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,BN,Brunei Darussalam,country,,4.535277,114.727669,9188.37156129253,1986,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,BN,Brunei Darussalam,country,,4.535277,114.727669,11348.4238214825,1986,279,15,0,0,0,0,0,0,25,0,0,0,0,2,0,183,0,36,18,0,0,0,0,0
GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,BN,Brunei Darussalam,country,,4.535277,114.727669,12769.3343693999,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,BN,Brunei Darussalam,country,,4.535277,114.727669,11434.0602739424,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,BN,Brunei Darussalam,country,,4.535277,114.727669,4261.16793770098,1986,963,21,5,0,35,50,2,633,3,0,62,0,0,152,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,BN,Brunei Darussalam,country,,4.535277,114.727669,599.472541609892,1986,288,20,0,0,0,0,2,1,5,0,84,14,40,122,0,0,0,0,0,0,0,0,0,0
IR,Iran,country,Middle East and North Africa,32.427908,53.688046,BN,Brunei Darussalam,country,,4.535277,114.727669,7042.92308155315,1986,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,BN,Brunei Darussalam,country,,4.535277,114.727669,7980.50089229366,1986,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,BN,Brunei Darussalam,country,,4.535277,114.727669,11695.5084914906,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,BN,Brunei Darussalam,country,,4.535277,114.727669,8793.60361054822,1986,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BN,Brunei Darussalam,country,,4.535277,114.727669,10680.629355154,1986,62,4,0,0,0,0,0,3,23,0,0,0,0,7,2,18,0,5,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,BN,Brunei Darussalam,country,,4.535277,114.727669,4269.1223572903,1986,2583,254,1,34,6,14,0,6,262,0,0,97,14,1694,73,126,0,2,0,0,0,0,0,0
MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,BN,Brunei Darussalam,country,,4.535277,114.727669,7871.7367121618,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,BN,Brunei Darussalam,country,,4.535277,114.727669,1415.84574005925,1986,17595,2816,13,2360,22,5,362,990,582,0,97,3678,229,3861,175,804,486,35,1566,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,BN,Brunei Darussalam,country,,4.535277,114.727669,14919.4592525278,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,BN,Brunei Darussalam,country,,4.535277,114.727669,4826.7884089753,1986,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM,Myanmar,country,East Asia and Pacific,21.913965,95.956223,BN,Brunei Darussalam,country,,4.535277,114.727669,2800.274484301,1986,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NP,Nepal,country,South Asia,28.394857,84.124008,BN,Brunei Darussalam,country,,4.535277,114.727669,4184.55767598397,1986,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,BN,Brunei Darussalam,country,,4.535277,114.727669,10922.3526361993,1986,906,32,20,2,0,0,0,127,2,0,0,0,3,27,6,264,0,376,47,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,BN,Brunei Darussalam,country,,4.535277,114.727669,7919.90059738602,1986,753,5,0,0,0,0,0,113,161,0,0,0,0,207,0,5,0,80,182,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,BN,Brunei Darussalam,country,,4.535277,114.727669,10457.6021722448,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
PK,Pakistan,country,South Asia,30.375321,69.345116,BN,Brunei Darussalam,country,,4.535277,114.727669,5555.51120134,1986,52,50,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,BN,Brunei Darussalam,country,,4.535277,114.727669,1209.49311387709,1986,106,0,0,0,0,0,0,4,57,0,0,0,0,41,0,4,6,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,BN,Brunei Darussalam,country,,4.535277,114.727669,12427.985610363,1986,23,1,0,0,0,0,0,0,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,BN,Brunei Darussalam,country,,4.535277,114.727669,3739.63398514872,1986,2474,3,0,347,0,0,0,8,166,0,0,0,0,1770,0,180,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,BN,Brunei Darussalam,country,,4.535277,114.727669,1263.20905664743,1986,61438,6027,39,1053,36,175,30,601,1203,1,478,1899,415,25124,2670,18986,1086,489,2212,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,BN,Brunei Darussalam,country,,4.535277,114.727669,12031.175784974,1986,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,BN,Brunei Darussalam,country,,4.535277,114.727669,3774.92293895676,1986,12,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,BN,Brunei Darussalam,country,,4.535277,114.727669,9917.06018921136,1986,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,21,0,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,BN,Brunei Darussalam,country,,4.535277,114.727669,10889.4602626216,1986,93,0,0,5,0,0,0,0,0,0,0,0,17,3,0,68,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,BN,Brunei Darussalam,country,,4.535277,114.727669,1961.6521728364,1986,45342,28447,0,1764,163,6,15,217,1234,0,33,270,0,13164,3,0,263,21,5,0,0,0,0,0
TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,BN,Brunei Darussalam,country,,4.535277,114.727669,8791.80335396597,1986,14,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,BN,Brunei Darussalam,country,,4.535277,114.727669,11317.7315643934,1986,1410,158,0,80,4,4,1,113,252,0,3,101,124,173,8,215,10,82,92,0,0,0,0,0
TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,BN,Brunei Darussalam,country,,4.535277,114.727669,8955.00850556826,1986,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BN,Brunei Darussalam,country,,4.535277,114.727669,14430.8619318203,1986,5981,84,40,26,5,28,0,147,1972,0,0,88,35,886,42,28,0,2465,135,0,0,0,0,0
UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,BN,Brunei Darussalam,country,,4.535277,114.727669,16768.5237227304,1986,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
AF,Afghanistan,country,South Asia,33.93911,67.709953,BN,Brunei Darussalam,country,,4.535277,114.727669,5850.42577869561,2002,8,0,4,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,BN,Brunei Darussalam,country,,4.535277,114.727669,16262.1835674072,2002,728,106,0,0,0,0,0,0,56,0,0,565,0,0,0,0,0,1,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BN,Brunei Darussalam,country,,4.535277,114.727669,3905.35554845055,2002,16177,764,291,286,3,3,23,2174,2107,0,40,1098,209,6955,88,982,0,219,935,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BN,Brunei Darussalam,country,,4.535277,114.727669,10405.8408394756,2002,35,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,BN,Brunei Darussalam,country,,4.535277,114.727669,3373.98295837336,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BN,Brunei Darussalam,country,,4.535277,114.727669,11034.0503963671,2002,320,3,29,2,0,0,0,12,2,0,0,1,3,2,0,266,0,0,0,0,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,BN,Brunei Darussalam,country,,4.535277,114.727669,16520.6250941914,2002,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,BN,Brunei Darussalam,country,,4.535277,114.727669,10214.7846868825,2002,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BN,Brunei Darussalam,country,,4.535277,114.727669,18218.4596178935,2002,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,BN,Brunei Darussalam,country,,4.535277,114.727669,17481.1193921982,2002,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BN,Brunei Darussalam,country,,4.535277,114.727669,12320.9062286556,2002,1026,30,10,0,56,3,121,2,2,0,0,1,0,800,0,0,0,0,1,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,BN,Brunei Darussalam,country,,4.535277,114.727669,16511.7330015213,2002,262,0,0,0,0,0,0,0,52,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,BN,Brunei Darussalam,country,,4.535277,114.727669,1989.40946092368,2002,608,23,24,30,0,0,2,63,39,0,9,0,49,356,0,4,0,4,5,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,BN,Brunei Darussalam,country,,4.535277,114.727669,3650.78989394783,2002,102556,2573,1390,33,190,81,214,2179,2594,0,669,627,2,91626,54,9,0,274,41,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,BN,Brunei Darussalam,country,,4.535277,114.727669,2235.64200625679,2002,4653,4,20,11,0,0,19,2,416,0,0,0,3,4161,0,15,0,2,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,BN,Brunei Darussalam,country,,4.535277,114.727669,18611.0502193566,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,BN,Brunei Darussalam,country,,4.535277,114.727669,11008.3950833422,2002,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,BN,Brunei Darussalam,country,,4.535277,114.727669,8936.59268421347,2002,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BN,Brunei Darussalam,country,,4.535277,114.727669,10527.2447765972,2002,106,18,50,0,0,3,0,32,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,BN,Brunei Darussalam,country,,4.535277,114.727669,18571.3823648295,2002,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,BN,Brunei Darussalam,country,,4.535277,114.727669,9188.37156129253,2002,21,0,0,0,0,16,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,BN,Brunei Darussalam,country,,4.535277,114.727669,11348.4238214825,2002,396,4,0,0,0,0,0,0,153,0,0,0,0,9,0,189,0,0,41,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,BN,Brunei Darussalam,country,,4.535277,114.727669,10609.9206581402,2002,625,100,0,3,0,0,0,3,2,0,5,0,7,502,0,3,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,BN,Brunei Darussalam,country,,4.535277,114.727669,9950.87296905629,2002,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,BN,Brunei Darussalam,country,,4.535277,114.727669,16477.0158700698,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,BN,Brunei Darussalam,country,,4.535277,114.727669,4261.16793770098,2002,3465,94,49,1,52,73,80,2941,106,0,53,0,0,8,5,3,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,BN,Brunei Darussalam,country,,4.535277,114.727669,599.472541609892,2002,14272,1835,6,200,3,17,68,143,1631,0,8,0,133,7779,105,685,321,0,1659,0,0,0,0,0
IR,Iran,country,Middle East and North Africa,32.427908,53.688046,BN,Brunei Darussalam,country,,4.535277,114.727669,7042.92308155315,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,BN,Brunei Darussalam,country,,4.535277,114.727669,11695.5084914906,2002,31,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,BN,Brunei Darussalam,country,,4.535277,114.727669,8793.60361054822,2002,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BN,Brunei Darussalam,country,,4.535277,114.727669,10680.629355154,2002,102,15,0,0,0,0,1,6,19,0,0,2,18,22,19,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,BN,Brunei Darussalam,country,,4.535277,114.727669,4269.1223572903,2002,875,626,0,0,0,0,1,7,0,0,1,0,0,239,1,0,0,0,0,0,0,0,0,0
LA,Lao PDR,country,East Asia and Pacific,19.85627,102.495496,BN,Brunei Darussalam,country,,4.535277,114.727669,2160.52553296757,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,BN,Brunei Darussalam,country,,4.535277,114.727669,8708.92959565421,2002,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,BN,Brunei Darussalam,country,,4.535277,114.727669,1415.84574005925,2002,356547,14002,580,1202,73,29,2310,3688,7753,6,945,1441,1010,309676,3298,4130,866,1838,4566,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,BN,Brunei Darussalam,country,,4.535277,114.727669,14919.4592525278,2002,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
