sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,69921,58417,270,449,512,0,5884,230,951,18,0,299,0,58,2754,42,0,37,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,3272,2007,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,1,1250,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,12454,1370,607,3434,0,0,113,618,115,38,0,143,2132,666,804,2352,0,47,15,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,22081,21342,0,0,150,0,0,0,0,0,0,0,0,2,333,0,0,0,254,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,23642,7715,7,55,602,1,3,1929,7114,0,0,22,235,628,148,1603,1047,55,3525,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,24,15,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,419,101,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,292,10,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,507,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,28,0,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,1986,25,0,0,0,0,0,8,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
