sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,2049708,1711701,816,177,51429,0,26911,8846,98248,105,235,8206,0,1249,130621,287,0,9930,793,154,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,175282,144575,0,0,0,0,0,0,0,713,0,0,0,29200,43,0,0,703,0,48,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,2939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,506,2431,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,83886,30680,0,20,0,0,5,0,0,1844,0,0,2,261,10134,119,0,243,40578,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,77,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,850075,846701,0,0,1511,0,54,0,50,0,2,0,0,73,0,8,5,68,1608,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,69000,9790,0,0,30624,2142,1122,56,20966,0,12,0,0,545,14,2499,0,0,862,368,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,238,0,0,0,0,0,0,214,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,25,5,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,20502,79,0,0,0,0,0,0,0,0,0,0,0,142,243,94,0,12850,7094,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,5045,5000,0,35,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,329346,200834,5670,17,0,16,13,3,1125,1126,39,5,2,564,11310,456,46,102887,5262,17,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,184,0,0,0,0,0,51,96,0,0,0,0,0,2,13,22,0,0,0,0,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,54,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,1986,17745,0,0,0,0,0,0,0,6086,0,0,0,0,359,2571,10,0,8719,0,0,0,0,0,0
