sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BT,Bhutan,country,South Asia,27.514162,90.433601,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,BT,Bhutan,country,South Asia,27.514162,90.433601,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,BT,Bhutan,country,South Asia,27.514162,90.433601,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,BT,Bhutan,country,South Asia,27.514162,90.433601,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BT,Bhutan,country,South Asia,27.514162,90.433601,1987,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,BT,Bhutan,country,South Asia,27.514162,90.433601,1987,48,0,0,0,0,0,0,25,0,0,8,0,0,15,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BT,Bhutan,country,South Asia,27.514162,90.433601,1988,159,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BT,Bhutan,country,South Asia,27.514162,90.433601,1988,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,BT,Bhutan,country,South Asia,27.514162,90.433601,1988,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,BT,Bhutan,country,South Asia,27.514162,90.433601,1988,21,7,0,0,3,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BT,Bhutan,country,South Asia,27.514162,90.433601,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,BT,Bhutan,country,South Asia,27.514162,90.433601,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,BT,Bhutan,country,South Asia,27.514162,90.433601,1989,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,BT,Bhutan,country,South Asia,27.514162,90.433601,1989,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,BT,Bhutan,country,South Asia,27.514162,90.433601,1989,62,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,BT,Bhutan,country,South Asia,27.514162,90.433601,1989,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BT,Bhutan,country,South Asia,27.514162,90.433601,1989,732,722,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,BT,Bhutan,country,South Asia,27.514162,90.433601,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BT,Bhutan,country,South Asia,27.514162,90.433601,1990,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,BT,Bhutan,country,South Asia,27.514162,90.433601,1990,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0
PK,Pakistan,country,South Asia,30.375321,69.345116,BT,Bhutan,country,South Asia,27.514162,90.433601,1990,90,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,BT,Bhutan,country,South Asia,27.514162,90.433601,1990,171,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,BT,Bhutan,country,South Asia,27.514162,90.433601,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,BT,Bhutan,country,South Asia,27.514162,90.433601,1990,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,BT,Bhutan,country,South Asia,27.514162,90.433601,1990,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BT,Bhutan,country,South Asia,27.514162,90.433601,1990,1222,1174,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,BT,Bhutan,country,South Asia,27.514162,90.433601,1991,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,BT,Bhutan,country,South Asia,27.514162,90.433601,1991,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,BT,Bhutan,country,South Asia,27.514162,90.433601,1991,330,125,0,1,0,3,0,0,0,0,0,28,10,0,1,154,0,0,8,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,BT,Bhutan,country,South Asia,27.514162,90.433601,1991,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,BT,Bhutan,country,South Asia,27.514162,90.433601,1991,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0
PK,Pakistan,country,South Asia,30.375321,69.345116,BT,Bhutan,country,South Asia,27.514162,90.433601,1991,2220,0,0,0,2050,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,BT,Bhutan,country,South Asia,27.514162,90.433601,1991,50,25,0,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BT,Bhutan,country,South Asia,27.514162,90.433601,1991,408,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BT,Bhutan,country,South Asia,27.514162,90.433601,1992,175,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,110,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,BT,Bhutan,country,South Asia,27.514162,90.433601,1992,43,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BT,Bhutan,country,South Asia,27.514162,90.433601,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,BT,Bhutan,country,South Asia,27.514162,90.433601,1992,603,78,0,0,15,0,0,0,3,0,0,6,19,0,24,458,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,BT,Bhutan,country,South Asia,27.514162,90.433601,1992,323,0,0,0,0,0,0,9,0,0,0,0,0,0,0,42,0,0,272,0,0,0,0,0
PK,Pakistan,country,South Asia,30.375321,69.345116,BT,Bhutan,country,South Asia,27.514162,90.433601,1992,258,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,BT,Bhutan,country,South Asia,27.514162,90.433601,1992,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,BT,Bhutan,country,South Asia,27.514162,90.433601,1992,23,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,BT,Bhutan,country,South Asia,27.514162,90.433601,1992,1664,1413,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BT,Bhutan,country,South Asia,27.514162,90.433601,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,BT,Bhutan,country,South Asia,27.514162,90.433601,1993,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,BT,Bhutan,country,South Asia,27.514162,90.433601,1993,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BT,Bhutan,country,South Asia,27.514162,90.433601,1993,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
