sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1986,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1986,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1986,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1986,1165,562,0,0,0,0,0,347,5,0,2,0,0,23,89,2,0,102,33,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1986,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1986,963,19,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,511,307,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1986,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,34,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,1986,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
