sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,CA,Canada,country,North America,56.130366,-106.346771,1986,246,0,0,0,0,0,0,0,61,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,CA,Canada,country,North America,56.130366,-106.346771,1986,2894,0,0,645,0,0,36,92,799,37,0,0,1156,125,0,0,0,0,0,4,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CA,Canada,country,North America,56.130366,-106.346771,1986,168957,39,0,36,945,0,25,2,34468,905,0,11297,5,79057,15,3047,0,38866,207,43,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CA,Canada,country,North America,56.130366,-106.346771,1986,1817,335,0,0,0,0,1,186,127,0,7,0,1,49,0,584,0,10,517,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,CA,Canada,country,North America,56.130366,-106.346771,1986,1538,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1514,0,5,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,CA,Canada,country,North America,56.130366,-106.346771,1986,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,CA,Canada,country,North America,56.130366,-106.346771,1986,8442,0,0,8009,0,0,0,27,0,0,2,0,0,17,0,387,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CA,Canada,country,North America,56.130366,-106.346771,1986,43769,648,7,1773,88,7,2,2426,2219,1173,51,27,1224,511,0,897,0,32057,659,0,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,CA,Canada,country,North America,56.130366,-106.346771,1986,3586,0,0,3586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CA,Canada,country,North America,56.130366,-106.346771,1986,71527,60,0,0,0,1848,0,2630,44520,650,79,44,15872,148,787,1523,0,3366,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,CA,Canada,country,North America,56.130366,-106.346771,1986,1003,0,0,0,0,0,0,783,0,0,0,0,0,0,0,3,0,0,217,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,CA,Canada,country,North America,56.130366,-106.346771,1986,4194,15,0,140,0,10,19,452,2653,0,4,0,39,74,0,788,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,CA,Canada,country,North America,56.130366,-106.346771,1986,23471,3468,865,740,755,922,3617,2789,4182,426,114,10,169,3710,121,1212,0,0,371,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,CA,Canada,country,North America,56.130366,-106.346771,1986,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,CA,Canada,country,North America,56.130366,-106.346771,1986,11453,882,18,104,7,0,59,4408,5070,0,251,0,38,548,2,15,0,11,40,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,CA,Canada,country,North America,56.130366,-106.346771,1986,13454,0,0,133,0,0,94,0,34,99,0,0,11765,1320,0,9,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,CA,Canada,country,North America,56.130366,-106.346771,1986,2160,0,243,0,0,0,1,147,102,0,10,0,1632,24,0,1,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,CA,Canada,country,North America,56.130366,-106.346771,1986,168081,0,0,168025,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,CA,Canada,country,North America,56.130366,-106.346771,1986,112,0,0,0,0,0,0,5,0,0,0,0,73,0,0,34,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CA,Canada,country,North America,56.130366,-106.346771,1986,20458,2108,0,3809,0,5,27,16,457,0,0,21,265,1702,1,860,0,6623,4564,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,CA,Canada,country,North America,56.130366,-106.346771,1986,874,0,0,0,0,0,0,135,658,0,15,0,0,66,0,0,0,0,0,0,0,0,0,0
