sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,15505,11056,0,0,0,0,0,572,0,0,0,0,0,2542,0,0,0,1335,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,69412,29753,139,8738,2,3,18,2798,295,5,40,2935,219,2257,119,718,65,20758,615,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,107,0,0,78,0,0,0,0,0,0,0,0,0,0,0,15,0,14,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,4412,4320,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,77,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,21,2,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,1724,0,0,0,0,0,0,0,0,0,0,0,3,0,0,20,0,1632,69,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,52876,44792,4,2210,0,0,2,38,6,1,0,36,4,114,52,511,8,4869,237,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,345,0,0,0,0,0,0,104,0,0,0,0,0,240,0,0,0,0,1,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,5040,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,4293,563,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,8904,91,0,0,0,0,0,8460,20,0,0,37,0,64,0,6,0,225,1,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,918,43,0,642,0,0,0,6,0,0,0,0,0,4,106,114,0,3,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,27125,2000,0,24900,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,22477,50,0,7,6,0,0,1977,53,0,0,0,1,441,94,73,0,12062,7713,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,327,1,0,1,0,0,0,1,3,0,0,0,0,0,0,295,0,25,1,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,54,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,716,0,0,0,0,0,0,0,0,0,0,0,0,0,716,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,2463,1498,150,0,0,0,0,731,0,0,0,0,0,32,0,52,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,71,0,0,0,0,0,0,0,0,0,0,0,33,27,0,0,0,0,11,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,73218,73218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,1483,116,42,37,0,0,0,0,0,0,0,0,3,70,3,260,5,871,81,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,1986,204816,195078,0,0,0,0,0,52,0,6868,0,1883,0,152,0,8,0,22,753,0,0,0,0,0
